 Brazil,6.9,76.6,50.0,0.15,1.9,0.32,1.23,8.0,76.2,0.593,20.5,58.1,60.8,9770.0,14373.0,13.8,14.1,13.5,27.1,1.7,60.6,60.6,54.3,1.004,0.467,4.5,17.2,12299.0,2298.8,57.0,133.0,101.0,26.0,17.1,12041.0,0.4,50.0,23.4,0.698,0.696,0.7,0.7240000000000001,17.2,1.0,2.0,5358.0,21.0,55.4,79.3,67.0,72.0,75.9,68.3,0.8009999999999999,0.696,67.0,6.3,6.2,6.0,27.0,46.1,111.0,23.1,225.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,8.9,79.3,17.2,0.0,0.0,0.0,0.0,0.0,0.0,95.1,77.8,0.0,42.3,44.6,42.7,124.6,11.0,186.9,16.4,82.8,23.4,-2.0,98.6,21.0,23.4,0.32,46.3,83.5,1.05,43.5,9.1,1.64,50.0,9.3,23.4,29.8,14.3,41.2,1.23
 Brunei Darussalam,22.2,23.8,51.0,0.17,13.7,1.6949999999999998,1.08,2.2,10.4,0.679,1.0,79.8,63.6,58394.0,107403.0,14.3,14.5,14.1,97.5,1.8,73.8,73.8,100.0,0.972,0.428,4.4,11.4,82967.0,30.3,59.0,111.0,97.0,15.0,11.4,83411.0,0.4,51.0,0.5,0.821,0.8440000000000001,0.838,1.0,11.4,1.0,2.0,126.0,36.5,56.6,78.0,67.6,76.3,78.0,74.7,0.866,0.8440000000000001,30.0,8.5,8.1,8.8,26.8,63.8,80.0,9.5,112.0,11.5,1.9,1.9,1.9,1.9,1.9,2.3,4.3,78.0,11.4,1.9,1.9,1.9,1.9,1.9,1.9,91.2,85.19999999999999,1.9,63.3,60.7,65.6,0.3,0.0,0.4,0.0,73.2,0.5,-2.1,99.6,10.0,0.5,1.6949999999999998,0.0,100.0,1.06,41.0,13.9,1.37,51.0,5.9,19.2,4.5,0.2,40.2,1.08
 Bulgaria,2.2,40.9,52.0,0.5,6.3,5.44,0.96,6.9,39.3,0.715,8.9,56.8,45.3,9995.0,15063.0,13.5,13.5,13.5,100.5,13.8,33.6,33.6,73.0,0.975,0.25,4.1,27.9,12420.0,95.1,85.0,103.0,89.0,45.0,25.9,12461.0,0.1,52.0,2.6,0.7390000000000001,0.758,0.75,0.7290000000000001,27.9,3.0,4.0,4837.0,20.0,44.7,56.4,50.4,72.7,76.2,69.2,0.81,0.758,15.0,10.2,9.8,10.4,41.2,81.3,92.0,11.0,220.0,13.3,-2.2,-2.2,-2.2,-2.2,-2.2,2.3,25.1,56.4,27.9,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,99.7,85.9,-2.2,91.3,88.2,93.1,5.3,1.3,7.7,0.3,70.6,2.6,-9.1,99.4,16.0,2.6,5.44,9.9,100.0,1.06,47.2,22.1,0.95,52.0,10.1,22.3,10.3,28.8,19.7,0.96
 Burkina Faso,2.1,137.1,64.0,0.07,0.1,1.04,1.07,4.4,15.5,0.17300000000000001,82.0,12.9,71.2,921.0,1621.0,4.7,4.0,5.3,35.5,0.6,21.7,21.7,73.95,0.787,0.645,4.4,24.1,1266.0,17.0,57.0,58.0,14.0,2.0,19.7,1266.0,1.5,64.0,0.5,0.28300000000000003,0.36,0.324,0.384,24.1,9.0,16.0,245.0,0.5,62.4,86.8,74.2,53.3,54.0,52.4,0.512,0.36,468.0,1.3,0.9,1.8,16.6,4.7,286.0,81.4,326.0,154.6,-2.0,-2.0,-2.0,-2.0,-2.0,12.8,5.0,86.8,24.1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,48.8,13.5,-2.0,7.9,5.0,11.2,6.8,0.3,13.4,2.5,21.5,0.5,-0.5,36.7,47.0,0.5,1.04,86.5,2.4,1.05,38.3,11.7,1.13,64.0,4.0,5.8,89.7,79.0,91.3,1.07
 Burundi,-25.5,36.3,195.0,0.03,0.0,0.01,0.69,9.4,23.4,0.24,91.8,5.6,79.8,627.0,802.0,5.9,5.5,6.9,41.6,0.1,7.0,7.0,73.95,0.8490000000000001,0.526,3.6,22.4,724.0,5.4,2.0,82.0,13.0,3.0,22.4,713.0,2.3,195.0,3.6,0.306,0.361,0.33,0.297,22.4,4.0,13.0,148.0,0.5,82.1,80.2,81.1,52.7,54.4,51.1,0.504,0.361,863.0,2.3,1.7,2.9,16.7,2.1,321.0,77.9,372.0,123.9,1.5,1.5,1.5,1.5,1.5,33.2,5.6,80.2,22.4,1.5,1.5,1.5,1.5,1.5,1.5,53.6,44.7,1.5,5.7,4.0,7.7,3.8,0.2,7.4,1.3,9.4,3.6,-0.1,31.8,49.0,3.6,0.01,97.3,1.0,1.03,22.1,31.7,0.55,195.0,1.7,2.9,93.3,91.1,89.0,0.69
 Cabo Verde,8.3,99.3,153.0,0.2,0.9,14.06,1.09,4.8,72.3,0.46299999999999997,73.2,20.0,52.6,2914.0,6479.0,11.5,11.7,11.0,104.3,8.3,20.7,20.7,0.0,0.94,0.428,4.4,22.4,4643.0,2.2,60.0,112.0,71.0,8.0,21.7,4658.0,0.9,153.0,9.3,0.672,0.715,0.598,0.58,22.4,3.0,8.0,198.0,6.1,44.2,75.7,59.3,71.8,73.3,69.9,0.7959999999999999,0.715,54.0,4.3,7.5,7.9,19.7,17.2,117.0,23.4,159.0,27.9,-4.3,-4.3,-4.3,-4.3,-4.3,17.4,10.2,75.7,22.4,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,79.9,48.2,-4.3,55.2,51.7,55.8,0.3,0.0,0.5,0.1,57.7,9.3,-8.3,77.5,26.0,9.3,14.06,26.6,44.0,1.03,26.2,11.1,1.16,153.0,11.2,17.7,41.5,51.7,67.9,1.09
 Cambodia,4.6,48.2,511.0,0.11,0.2,2.6,0.87,7.1,7.2,0.4,70.8,19.4,79.9,1567.0,2230.0,10.2,9.4,10.8,136.8,6.0,60.8,60.8,27.3,0.8740000000000001,0.561,4.4,18.5,1969.0,26.1,11.0,131.0,85.0,3.0,18.9,1889.0,1.1,511.0,3.4,0.456,0.522,0.49,0.444,18.5,15.0,21.0,1422.0,0.3,76.9,86.7,81.5,63.1,65.3,60.7,0.6629999999999999,0.522,315.0,3.5,2.6,4.7,20.4,8.0,192.0,53.4,251.0,65.5,-0.6,-0.6,-0.6,-0.6,-0.6,9.0,5.7,86.7,18.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,59.9,24.4,-0.6,12.0,8.2,20.5,7.9,0.4,13.3,1.5,19.2,3.4,-5.9,43.8,53.0,3.4,2.6,76.1,12.6,1.03,47.6,10.9,0.82,511.0,2.0,3.4,85.4,83.1,62.2,0.87
 Cameroon,4.0,150.0,311.0,0.07,0.2,0.43,1.18,4.5,12.7,0.4,64.9,25.5,72.5,2185.0,3322.0,8.2,7.8,9.5,51.0,1.4,44.5,44.5,15.3,0.833,0.659,2.9,22.0,2829.0,49.3,19.0,106.0,28.0,6.0,21.7,2753.0,5.1,311.0,3.6,0.426,0.512,0.466,0.501,22.0,15.0,32.0,176.0,1.4,70.4,81.5,75.9,52.9,53.8,52.0,0.506,0.512,729.0,5.1,3.9,6.4,17.7,12.9,375.0,84.1,399.0,136.3,-0.7,-0.7,-0.7,-0.7,-0.7,2.4,6.3,81.5,22.0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,58.7,39.3,-0.7,25.1,21.0,32.0,9.2,0.6,17.4,3.0,48.5,3.6,-1.4,98.2,48.0,3.6,0.43,86.2,15.1,1.03,41.9,8.9,1.47,311.0,4.4,7.8,71.4,48.5,83.5,1.18
 Canada,11.0,14.4,5.5,0.43,17.3,0.08,0.88,9.1,196.5,0.847,2.7,75.2,62.2,30382.0,49092.0,15.8,16.3,15.4,69.7,2.2,38.2,38.2,75.2,0.98,0.132,4.8,22.7,40471.0,1307.7,57.0,97.0,101.0,26.0,21.9,39657.0,0.4,5.5,2.1,0.8809999999999999,0.899,0.892,0.904,22.7,4.0,6.0,18771.0,71.7,60.9,72.6,66.7,80.2,82.5,77.8,0.927,0.899,9.0,12.2,12.2,12.2,38.6,52.7,57.0,5.2,94.0,6.1,6.5,6.5,6.5,6.5,6.5,2.3,19.0,72.6,22.7,6.5,6.5,6.5,6.5,6.5,6.5,99.9,98.5,6.5,100.0,99.8,99.8,22.3,4.2,32.3,1.7,80.1,2.1,3.0,98.8,22.0,2.1,0.08,22.2,100.0,1.05,47.1,24.7,0.93,5.5,6.8,12.4,10.3,28.8,25.5,0.88
 Central African Republic,8.3,126.0,687.0,0.07,0.1,1.6949999999999998,1.05,4.5,17.7,0.276,86.4,6.6,66.8,614.0,993.0,6.0,4.8,7.2,35.1,0.8,35.8,35.8,73.95,0.7390000000000001,0.6859999999999999,1.6,9.9,810.0,3.3,3.0,64.0,85.0,26.0,9.9,801.0,6.3,687.0,3.6,0.27,0.366,0.319,0.314,9.9,36.0,38.0,12.0,0.3,64.1,78.8,71.3,44.5,45.7,43.2,0.376,0.366,1060.0,3.3,2.0,4.7,18.6,2.4,517.0,108.1,531.0,163.5,-1.2,-1.2,-1.2,-1.2,-1.2,6.7,6.9,78.8,9.9,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,52.8,18.9,-1.2,16.4,8.8,24.8,2.2,0.2,4.1,0.7,38.1,3.6,-2.2,98.2,89.0,3.6,1.6949999999999998,85.7,0.3,1.03,28.6,10.5,1.19,687.0,6.2,11.4,74.0,81.8,78.0,1.05
 Chad,8.3,209.7,151.0,0.02,0.0,1.6949999999999998,1.1,4.9,6.4,0.20199999999999999,87.3,7.5,68.2,1161.0,1877.0,5.5,4.1,6.9,85.8,-1.5,4.9,4.9,73.95,0.723,0.428,1.7,20.7,1793.0,18.1,57.0,72.0,16.0,1.0,20.6,1519.0,1.9,151.0,10.7,0.27399999999999997,0.379,0.33,0.41100000000000003,20.7,54.0,73.0,1116.0,0.4,64.9,79.9,72.3,48.1,48.8,47.2,0.43200000000000005,0.379,1170.0,1.5,0.7,2.3,15.4,2.1,387.0,93.2,421.0,168.8,4.8,4.8,4.8,4.8,4.8,6.9,5.6,79.9,20.7,4.8,4.8,4.8,4.8,4.8,4.8,40.1,9.7,4.8,5.5,51.7,55.8,4.9,0.3,10.1,2.0,21.8,10.7,-2.2,98.2,63.0,10.7,1.6949999999999998,91.7,0.8,1.03,26.7,6.5,1.42,151.0,5.7,10.2,92.2,75.5,101.8,1.1
 Chile,6.2,57.7,18.0,0.23,3.8,0.01,1.14,6.6,80.4,0.722,13.2,63.9,50.9,9084.0,22332.0,14.5,14.7,15.1,71.6,6.1,21.6,21.6,74.2,0.938,0.389,3.3,21.8,17008.0,274.6,80.0,107.0,95.0,49.0,22.2,15637.0,0.3,18.0,3.6,0.7609999999999999,0.8109999999999999,0.7879999999999999,0.763,21.8,8.0,10.0,2027.0,31.2,38.3,73.0,55.3,77.8,80.6,74.8,0.889,0.8109999999999999,27.0,9.5,9.5,9.6,30.6,65.5,72.0,7.8,131.0,9.2,0.5,0.5,0.5,0.5,0.5,0.2,12.2,73.0,21.8,0.5,0.5,0.5,0.5,0.5,0.5,97.3,94.9,0.5,67.8,75.4,72.5,10.9,1.3,16.1,1.3,86.8,3.6,-2.0,99.8,26.0,3.6,0.01,32.3,87.9,1.04,37.6,11.9,1.4,18.0,8.0,19.9,27.0,3.7,36.6,1.14
 China,30.0,8.4,92.0,0.79,4.5,0.15,0.92,4.3,132.6,0.535,35.8,34.6,70.3,4402.0,6891.0,11.0,10.9,11.2,62.2,4.6,20.6,20.6,85.9,0.925,0.231,4.4,41.4,5719.0,7456.6,57.0,101.0,85.0,19.0,40.5,5682.0,0.4,92.0,1.6,0.622,0.672,0.647,0.61,41.4,5.0,14.0,46809.0,8.5,66.8,79.7,73.4,74.0,75.6,72.5,0.831,0.672,48.0,6.9,6.3,7.5,32.7,29.8,81.0,20.3,108.0,24.0,-0.3,-0.3,-0.3,-0.3,-0.3,0.1,10.6,79.7,41.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,84.3,65.1,-0.3,58.7,51.0,66.3,957.0,101.7,1321.6,79.3,42.5,1.6,-3.7,97.5,22.0,1.6,0.15,18.2,96.2,1.16,42.2,20.3,0.82,92.0,4.1,9.0,45.3,40.6,27.5,0.92
 Colombia,3.9,86.3,30.0,0.15,1.4,2.28,1.26,5.5,49.5,0.584,20.7,59.3,57.4,6021.0,11979.0,12.9,13.1,12.6,35.6,7.0,54.3,54.3,75.9,0.971,0.49,4.0,20.2,9264.0,401.0,46.0,128.0,83.0,29.0,19.7,8963.0,0.4,30.0,41.8,0.674,0.6940000000000001,0.6829999999999999,0.679,20.2,3.0,4.0,933.0,11.0,49.3,81.7,65.1,72.3,76.0,68.7,0.805,0.6940000000000001,80.0,6.8,7.1,7.1,26.1,50.5,102.0,18.4,214.0,21.6,-0.8,-0.8,-0.8,-0.8,-0.8,0.4,7.9,81.7,20.2,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,92.4,78.9,-0.8,40.8,40.9,40.5,28.5,2.2,43.3,4.1,76.0,41.8,-2.7,90.7,28.0,41.8,2.28,28.7,89.2,1.05,43.5,10.9,1.71,30.0,11.9,23.7,43.2,15.9,43.9,1.26
 Congo,-64.2,136.4,426.0,0.06,0.3,0.19,0.98,1.9,1.1,0.46,40.0,36.6,55.1,2417.0,3381.0,9.6,9.0,10.2,138.7,13.2,65.8,65.8,33.3,0.885,0.624,1.8,20.2,4743.0,17.6,7.0,107.0,85.0,26.0,19.7,2899.0,3.3,426.0,10.6,0.467,0.528,0.5,0.509,20.2,27.0,46.0,35.0,1.5,66.7,70.6,68.7,54.7,55.8,53.6,0.534,0.528,596.0,5.8,4.9,6.4,19.1,15.0,365.0,58.7,385.0,89.8,2.9,2.9,2.9,2.9,2.9,35.4,6.2,70.6,20.2,2.9,2.9,2.9,2.9,2.9,2.9,59.7,13.4,2.9,43.8,40.1,47.6,2.0,0.1,3.7,0.6,61.0,10.6,-8.4,83.4,22.0,10.6,0.19,63.5,14.8,1.03,46.8,10.1,1.15,426.0,19.8,40.4,76.1,70.2,75.6,0.98
 Congo (Democratic Republic of the),-8.6,126.3,327.0,0.05,0.0,0.07,1.11,3.0,1.7,0.35200000000000004,81.4,5.7,69.6,498.0,648.0,7.5,6.2,8.7,52.3,1.5,68.7,68.7,2.5,0.7859999999999999,0.665,4.4,11.8,594.0,32.5,57.0,101.0,85.0,26.0,11.7,572.0,1.7,327.0,14.7,0.317,0.40399999999999997,0.364,0.264,11.8,32.0,39.0,61.0,0.2,71.2,73.4,72.3,53.7,55.1,52.2,0.518,0.40399999999999997,787.0,4.3,2.7,5.8,17.0,5.0,286.0,95.8,337.0,137.4,-0.9,-0.9,-0.9,-0.9,-0.9,16.4,5.8,73.4,11.8,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,36.9,21.4,-0.9,21.5,11.9,31.6,28.1,1.6,54.8,10.2,37.5,14.7,-1.3,98.2,22.0,14.7,0.07,97.4,94.80000000000001,1.03,38.6,10.2,1.43,327.0,3.7,7.3,57.4,98.3,89.3,1.11
 Costa Rica,11.4,69.8,16.0,0.15,1.6,2.11,1.3,6.7,46.7,0.613,15.3,63.1,58.4,7647.0,13573.0,12.6,12.9,12.5,89.6,7.7,48.8,48.8,46.9,0.9640000000000001,0.345,4.4,19.1,11025.0,46.8,72.0,113.0,84.0,26.0,20.0,10618.0,0.3,16.0,7.9,0.7140000000000001,0.74,0.728,0.705,19.1,3.0,11.0,1679.0,22.1,44.7,80.5,62.5,78.1,80.5,75.8,0.894,0.74,31.0,7.9,7.9,7.8,27.4,25.9,68.0,9.1,124.0,10.5,2.0,2.0,2.0,2.0,2.0,0.1,9.8,80.5,19.1,2.0,2.0,2.0,2.0,2.0,2.0,96.4,95.3,2.0,47.7,47.9,45.9,2.8,0.3,4.2,0.4,65.7,7.9,-6.2,98.5,21.0,7.9,2.11,42.1,97.8,1.05,39.1,35.1,1.88,16.0,6.6,15.4,21.2,3.9,41.4,1.3
 Croatia,10.5,15.2,28.0,0.26,5.1,3.44,1.07,6.9,62.8,0.71,17.3,54.1,46.6,15771.0,22772.0,14.0,14.3,13.6,84.7,4.0,34.0,34.0,77.0,0.976,0.16399999999999998,4.4,27.9,19542.0,86.8,46.0,103.0,93.0,45.0,25.4,19143.0,0.1,28.0,1.6,0.7809999999999999,0.8009999999999999,0.7829999999999999,0.794,27.9,4.0,4.0,7743.0,33.1,46.2,61.1,53.3,75.5,78.9,71.9,0.853,0.8009999999999999,11.0,9.7,9.6,11.1,40.5,83.4,66.0,5.8,159.0,6.7,-0.1,-0.1,-0.1,-0.1,-0.1,0.3,25.7,61.1,27.9,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,98.9,97.2,-0.1,77.6,76.9,88.6,2.9,0.8,4.4,0.2,54.3,1.6,-0.1,99.9,18.0,1.6,3.44,26.8,100.0,1.06,43.9,21.7,1.21,28.0,12.6,32.4,19.9,28.8,23.5,1.07
 Cuba,8.3,49.1,7.9,0.23,2.3,1.6949999999999998,1.0,5.5,42.7,0.736,20.3,60.6,51.8,3091.0,7165.0,14.6,15.6,13.9,39.4,3.4,25.3,25.3,81.0,0.94,0.341,10.6,10.8,9138.0,64.6,107.0,98.0,92.0,62.0,9.0,5135.0,0.1,7.9,6.1,0.7040000000000001,0.7490000000000001,0.731,0.595,10.8,1.0,2.0,2261.0,9.7,38.3,67.4,52.8,78.0,79.9,76.0,0.892,0.7490000000000001,41.0,9.9,9.8,10.1,35.6,1.2,81.0,5.3,123.0,6.8,-2.6,-2.6,-2.6,-2.6,-2.6,0.2,15.7,67.4,10.8,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,93.8,89.8,-2.6,73.2,69.8,75.2,7.9,1.2,11.3,0.7,76.1,6.1,-2.2,99.9,10.0,6.1,1.6949999999999998,26.3,94.3,1.06,41.2,36.0,1.29,7.9,1.9,4.1,12.6,5.4,27.9,1.0
 Cyprus,13.1,7.2,3.8,0.3,7.3,0.56,1.05,5.3,195.8,0.7290000000000001,4.7,71.2,59.7,23153.0,41731.0,13.4,13.6,13.3,111.9,6.2,18.7,18.7,97.4,0.955,0.14,6.2,22.5,33663.0,24.9,65.0,101.0,97.0,33.0,21.5,32562.0,0.4,3.8,1.9,0.81,0.848,0.831,0.8740000000000001,22.5,2.0,14.0,2470.0,32.8,53.2,72.7,63.0,78.6,80.7,76.5,0.902,0.848,12.0,10.7,10.3,11.1,32.9,75.8,43.0,4.1,84.0,4.9,11.7,11.7,11.7,11.7,11.7,2.3,15.5,72.7,22.5,11.7,11.7,11.7,11.7,11.7,11.7,100.0,99.9,11.7,69.2,65.8,72.8,0.7,0.1,1.0,0.1,68.3,1.9,-3.0,99.3,18.0,1.9,0.56,3.4,100.0,1.07,41.9,16.1,1.39,3.8,5.3,13.0,15.9,28.8,28.9,1.05
 Czechia,7.7,11.4,11.0,0.46,11.8,0.98,0.99,6.4,41.6,0.809,4.0,56.5,54.8,17836.0,31666.0,14.8,15.1,14.7,122.0,10.1,34.3,34.3,83.7,0.973,0.153,3.9,29.1,25781.0,263.3,116.0,99.0,96.0,48.0,28.2,24572.0,0.1,11.0,1.1,0.835,0.858,0.835,0.831,29.1,1.0,3.0,6336.0,35.3,50.8,68.9,59.5,76.3,79.4,73.0,0.866,0.858,6.0,11.9,12.8,13.3,38.7,114.8,70.0,3.6,155.0,4.4,0.9,0.9,0.9,0.9,0.9,2.3,19.7,68.9,29.1,0.9,0.9,0.9,0.9,0.9,0.9,99.8,99.1,0.9,99.8,99.8,99.7,7.3,1.4,10.3,0.5,73.6,1.1,-6.0,99.8,16.0,1.1,0.98,7.5,100.0,1.06,43.8,15.7,1.51,11.0,7.9,19.3,12.3,28.8,20.7,0.99
 Côte d'Ivoire,7.7,137.4,267.0,0.16,0.4,0.95,1.32,5.4,14.4,0.336,50.6,43.3,61.0,1601.0,3511.0,7.6,6.3,9.0,93.9,2.0,32.7,32.7,25.4,0.76,0.69,4.1,13.9,2682.0,49.2,57.0,101.0,85.0,26.0,9.2,2580.0,5.0,267.0,14.7,0.353,0.46399999999999997,0.413,0.491,13.9,17.0,16.0,1116.0,1.0,48.3,76.9,63.2,47.7,48.5,46.9,0.426,0.46399999999999997,742.0,3.7,2.6,4.8,17.8,12.8,429.0,89.0,462.0,127.7,-4.2,-4.2,-4.2,-4.2,-4.2,0.6,5.2,76.9,13.9,-4.2,-4.2,-4.2,-4.2,-4.2,-4.2,72.1,24.8,-4.2,20.0,11.8,27.4,5.6,0.5,18.3,3.1,45.2,14.7,-1.8,55.1,22.0,14.7,0.95,78.1,37.0,1.03,39.4,8.5,1.59,267.0,3.5,4.9,79.7,54.2,83.1,1.32
 Denmark,15.1,6.6,8.4,0.2,8.7,0.25,1.0,9.1,184.9,0.895,3.2,72.9,62.7,35326.0,54714.0,16.9,17.5,16.3,89.4,4.9,13.1,13.1,82.2,0.988,0.064,8.1,22.2,44568.0,241.5,95.0,99.0,124.0,80.0,21.2,44929.0,0.4,8.4,1.0,0.8959999999999999,0.907,0.903,0.9229999999999999,22.2,7.0,5.0,9587.0,82.7,60.5,71.4,65.9,77.9,80.2,75.7,0.8909999999999999,0.907,8.0,12.8,12.9,12.7,39.6,100.5,69.0,4.0,111.0,4.8,1.7,1.7,1.7,1.7,1.7,2.3,22.9,71.4,22.2,1.7,1.7,1.7,1.7,1.7,1.7,100.0,99.6,1.7,98.6,100.0,100.0,3.6,0.8,5.4,0.3,85.9,1.0,6.1,98.8,22.0,1.0,0.25,16.1,100.0,1.05,47.2,36.9,1.21,8.4,4.8,8.6,5.2,28.8,28.3,1.0
 Dominican Republic,8.5,109.6,82.0,0.22,2.0,7.53,1.3,4.6,30.0,0.585,15.3,61.3,60.7,5345.0,10647.0,12.6,12.75,12.2,61.7,3.1,34.2,34.2,85.3,0.94,0.47,4.4,24.8,9012.0,83.2,32.0,106.0,70.0,26.0,22.6,7996.0,1.8,82.0,25.9,0.672,0.715,0.675,0.662,24.8,8.0,21.0,3691.0,11.5,48.8,81.3,64.9,71.6,74.9,68.6,0.795,0.715,64.0,7.0,7.3,6.7,23.6,39.2,134.0,30.1,223.0,36.8,-3.4,-3.4,-3.4,-3.4,-3.4,0.2,9.3,81.3,24.8,-3.4,-3.4,-3.4,-3.4,-3.4,-3.4,92.3,80.6,-3.4,42.9,39.8,36.9,5.6,0.5,9.2,1.1,67.4,25.9,-3.8,98.2,24.0,25.9,7.53,19.3,80.8,1.05,42.0,15.4,2.02,82.0,6.5,12.9,41.6,11.3,54.4,1.3
 Ecuador,3.1,82.5,70.0,0.26,2.2,5.93,1.28,5.6,19.1,0.598,29.1,52.4,63.8,5548.0,10946.0,12.8,12.75,12.2,56.1,1.2,53.7,53.7,84.9,0.94,0.452,4.4,21.6,8608.0,118.2,76.0,112.0,62.0,26.0,20.4,8251.0,0.3,70.0,15.4,0.672,0.715,0.693,0.667,21.6,4.0,7.0,860.0,6.0,55.3,83.2,69.2,74.1,77.2,71.2,0.833,0.715,74.0,7.3,6.9,7.2,23.9,45.5,104.0,24.4,189.0,29.2,-1.8,-1.8,-1.8,-1.8,-1.8,0.6,9.0,83.2,21.6,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,86.3,76.1,-1.8,38.8,38.6,37.6,8.5,0.8,13.7,1.5,61.7,15.4,-2.1,80.0,23.0,15.4,5.93,12.2,87.7,1.05,43.0,16.0,1.95,70.0,7.7,15.7,33.4,23.9,52.9,1.28
 Egypt,6.2,52.5,21.0,0.27,2.2,5.59,1.41,5.2,98.0,0.507,30.9,47.6,41.3,2859.0,13015.0,11.5,11.2,11.8,63.0,6.0,0.1,0.1,95.9,0.825,0.58,4.8,18.0,8002.0,614.3,16.0,97.0,85.0,29.0,17.9,7979.0,0.1,21.0,0.7,0.56,0.679,0.634,0.662,18.0,2.0,2.0,8244.0,12.8,20.2,73.0,46.6,69.4,71.8,67.1,0.7609999999999999,0.679,52.0,5.6,4.4,6.9,22.6,17.8,131.0,29.6,209.0,36.1,-0.2,-0.2,-0.2,-0.2,-0.2,1.2,7.9,73.0,18.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,98.3,92.7,-0.2,44.0,35.2,53.0,47.4,3.7,76.8,9.0,43.0,0.7,-9.8,74.2,26.0,0.7,5.59,6.5,99.1,1.07,14.0,3.8,3.68,21.0,11.2,30.1,25.0,52.4,54.0,1.41
 El Salvador,8.8,88.7,37.0,0.18,1.1,20.61,1.03,7.2,68.1,0.5579999999999999,20.0,57.8,56.5,4555.0,9189.0,12.9,12.5,12.8,69.7,3.5,14.9,14.9,44.1,0.951,0.489,2.7,18.6,5937.0,35.8,57.0,119.0,68.0,23.0,16.3,6767.0,0.7,37.0,64.4,0.63,0.662,0.6509999999999999,0.637,18.6,4.0,1.0,1127.0,4.2,45.5,79.0,60.9,70.4,74.9,65.7,0.775,0.662,68.0,6.0,5.8,6.6,23.0,40.0,124.0,20.9,293.0,24.7,-10.5,-10.5,-10.5,-10.5,-10.5,1.2,10.8,79.0,18.6,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,84.5,84.4,-10.5,36.9,34.2,36.2,3.6,0.4,6.0,0.7,61.6,64.4,-3.6,87.2,43.0,64.4,20.61,47.2,72.2,1.05,48.7,10.7,0.73,37.0,7.2,15.2,41.0,16.3,59.0,1.03
 Eritrea,8.3,82.4,149.0,0.12,0.2,1.6949999999999998,1.05,5.3,125.7,0.272,83.7,8.7,73.8,1288.0,1939.0,5.3,4.8,6.7,61.1,0.1,15.4,15.4,34.4,0.94,0.428,4.4,20.3,1629.0,6.5,15.0,76.0,31.0,26.0,20.3,1613.0,1.3,149.0,9.6,0.672,0.715,0.408,0.42,20.3,1.0,5.0,83.0,10.1,73.8,84.9,79.3,58.7,60.8,56.7,0.595,0.715,619.0,3.7,7.5,7.9,18.5,1.0,300.0,47.0,372.0,69.2,6.0,6.0,6.0,6.0,6.0,32.1,6.2,84.9,20.3,6.0,6.0,6.0,6.0,6.0,6.0,17.4,9.0,6.0,55.2,51.7,55.8,2.2,0.1,4.0,0.6,31.1,9.6,-2.2,98.2,48.0,9.6,1.6949999999999998,74.9,24.3,1.05,29.8,22.0,1.15,149.0,7.0,11.4,51.3,71.2,73.7,1.05
