,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Coefficient of Human Inequality,Concentration index (exports) (value),Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income inequality, Gini coefficient","Income inequality, Palma ratio","Income inequality, quintile ratio","Income quintile ratio, average annual change (%)",Inequality in education (%),Inequality in income (%),Inequality in life expectancy (%),Inequality-adjusted education index,Inequality-adjusted HDI (IHDI),Inequality-adjusted income index,Inequality-adjusted life expectancy index,"Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),Overall loss in HDI due to inequality (%),"Overall loss in HDI value due to inequality, average annual change (%)",Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Afghanistan,-22.9,80.6,189.0,0.16,0.3,1.21,1.07,30.0,0.293,9.7,-0.6,0.406,61.6,31.9,48.7,509.0,3120.0,10.4,7.7,12.0,52.3,0.2,2.1,2.1,,0.608,0.682,18.1,1839.0,60.2,,107.0,54.0,8.0,18.1,1854.0,0.1,189.0,,0.34600000000000003,0.569,0.491,0.441,30.0,30.0,30.0,18.1,44.8,10.8,34.3,0.22399999999999998,0.337,0.39299999999999996,0.434,27.0,40.0,,7.0,17.8,86.6,53.4,62.9,64.2,61.7,0.66,0.569,425.0,3.5,1.5,5.6,56.2,211.0,56.8,253.0,76.1,4.7,86.6,31.4,18.1,22.2,8.8,35.4,17.1,0.8,32.8,5.2,24.6,,0.5,,,1.21,19.3,87.8,10.9,27.6,1.71,189.0,8.7,17.9,65.3,3.8,98.5,86.7,1.07
 Albania,0.5,20.5,16.0,0.18,2.0,10.74,0.93,13.4,0.304,7.0,73.1,0.733,42.9,39.6,44.9,8311.0,13220.0,14.8,14.8,14.3,75.4,8.7,28.2,28.2,61.4,0.96,0.261,24.6,10701.0,30.9,84.0,108.0,96.0,70.0,24.2,10787.0,0.1,16.0,4.0,0.755,0.7859999999999999,0.773,0.7070000000000001,13.4,13.4,13.4,24.6,11.9,18.3,9.9,0.645,0.669,0.578,0.8029999999999999,1.0,2.0,3341.0,60.1,44.8,63.9,54.4,78.0,80.1,76.0,0.892,0.7859999999999999,29.0,9.7,9.5,10.1,115.0,52.0,12.9,81.0,14.4,17.6,63.9,13.4,24.6,91.2,90.2,91.5,2.0,0.4,2.9,0.2,56.4,4.0,-6.9,19.0,4.0,10.74,38.7,100.0,36.7,20.0,0.79,16.0,17.5,39.4,56.4,33.6,1.6,27.1,0.93
 Algeria,27.7,10.8,72.0,0.28,3.7,0.14,1.15,,0.485,6.5,18.0,0.6609999999999999,13.6,39.4,37.1,4052.0,22071.0,14.3,14.6,14.1,62.1,0.7,0.8,0.8,100.0,0.841,0.43700000000000006,45.6,13483.0,527.4,,118.0,,34.0,37.4,13150.0,0.1,72.0,1.5,0.6579999999999999,0.7829999999999999,0.747,0.737,,,,45.6,,,16.7,,,,0.713,1.0,5.0,2301.0,29.5,15.3,67.4,41.5,75.6,76.9,74.5,0.856,0.7829999999999999,141.0,7.9,6.1,8.4,110.7,86.0,22.0,109.0,25.6,8.7,67.4,,45.6,34.9,34.1,35.7,25.8,2.2,39.1,4.6,70.2,1.5,-0.7,24.0,1.5,0.14,0.1,98.4,17.8,25.7,1.88,72.0,10.6,25.8,27.0,40.1,10.0,42.9,1.15
 Argentina,7.9,63.5,25.0,0.25,4.7,0.1,1.17,14.6,0.18600000000000003,6.4,34.4,0.8079999999999999,0.6,75.3,55.7,12281.0,24847.0,17.3,18.4,16.1,28.4,1.0,10.0,10.0,88.5,0.996,0.365,17.3,18798.0,807.9,73.0,110.0,107.0,83.0,16.0,18429.0,0.4,25.0,7.5,0.813,0.816,0.82,0.7879999999999999,14.6,14.6,14.6,17.3,8.1,26.3,9.3,0.743,0.6970000000000001,0.581,0.785,2.0,5.0,5931.0,64.7,47.2,73.5,59.9,76.3,80.0,72.4,0.865,0.816,54.0,9.8,10.0,9.7,142.5,75.0,10.8,154.0,12.1,16.9,73.5,15.0,17.3,62.4,63.5,61.4,27.4,4.6,43.0,3.7,91.4,7.5,-0.2,,7.5,0.1,10.9,100.0,40.3,37.1,1.36,25.0,7.0,18.3,21.3,50.9,2.7,39.7,1.17
 Armenia,-1.1,25.7,57.0,0.24,1.9,17.9,1.2,10.1,0.22699999999999998,7.0,51.3,0.742,34.8,48.5,49.9,5727.0,11272.0,13.0,13.3,12.6,75.6,3.5,11.7,11.7,74.6,0.971,0.306,20.9,7971.0,23.2,50.0,,,47.0,20.0,8330.0,0.2,57.0,2.5,0.73,0.752,0.745,0.6679999999999999,10.1,10.1,10.1,20.9,3.7,13.9,12.7,0.715,0.669,0.575,0.7290000000000001,3.0,3.0,1204.0,54.6,52.0,70.8,60.5,74.3,77.3,70.9,0.835,0.752,26.0,11.5,11.5,11.3,119.0,76.0,13.2,178.0,14.7,15.6,70.8,10.2,20.9,98.3,98.5,98.1,2.0,0.3,2.9,0.2,63.1,2.5,-3.0,,2.5,17.9,7.7,100.0,41.8,10.7,1.23,57.0,17.5,36.9,43.3,14.7,10.7,28.4,1.2
 Australia,8.0,14.3,6.5,0.35,15.4,0.15,0.94,7.9,0.266,9.1,164.7,0.924,2.8,76.9,60.8,34113.0,50912.0,20.4,20.9,20.0,42.6,3.1,16.2,16.2,93.4,0.975,0.121,26.7,43547.0,1023.5,114.0,106.0,,,26.8,42490.0,0.1,6.5,1.0,0.92,0.9440000000000001,0.9329999999999999,0.914,7.9,7.9,7.9,26.7,1.9,17.7,4.2,0.9059999999999999,0.857,0.752,0.922,8.0,6.0,6884.0,84.0,58.7,71.0,64.8,82.6,84.6,80.5,0.9620000000000001,0.9440000000000001,6.0,12.7,12.8,12.6,106.8,45.0,3.4,76.0,4.0,22.1,71.0,8.2,26.7,91.5,91.4,91.5,15.6,3.4,23.5,1.5,85.6,1.0,-4.3,,1.0,0.15,9.3,100.0,46.1,30.1,1.03,6.5,6.1,13.3,10.9,99.0,,28.3,0.94
 Austria,12.6,8.1,7.5,0.15,6.9,0.73,0.97,7.6,0.061,10.3,125.4,0.8440000000000001,4.8,69.4,56.8,34658.0,54534.0,15.8,16.2,15.6,103.5,0.4,46.9,46.9,64.9,0.971,0.084,23.5,44321.0,378.8,101.0,101.0,99.0,79.0,22.6,44380.0,,7.5,0.5,0.888,0.914,0.9009999999999999,0.9209999999999999,7.6,7.6,7.6,23.5,3.5,15.5,3.7,0.815,0.8320000000000001,0.778,0.907,1.0,4.0,25291.0,81.0,54.6,66.1,60.2,81.3,83.7,78.7,0.9420000000000001,0.914,4.0,12.1,11.8,12.6,150.0,46.0,3.0,86.0,3.7,27.8,66.1,7.7,23.5,98.9,98.7,99.2,5.8,1.6,8.6,0.4,57.5,0.5,3.2,11.0,0.5,0.73,35.4,100.0,46.9,31.4,0.93,7.5,5.6,10.3,8.6,97.4,,21.1,0.97
 Azerbaijan,21.6,49.7,76.0,0.23,3.9,2.45,1.18,13.0,0.863,5.7,27.0,0.7090000000000001,36.8,48.9,61.9,11280.0,21735.0,12.7,12.6,12.7,69.5,5.9,13.5,13.5,98.4,0.955,0.32,25.7,16715.0,159.4,23.0,106.0,,23.0,25.8,16480.0,0.1,76.0,2.5,0.738,0.773,0.758,0.7709999999999999,13.0,13.0,13.0,25.7,8.3,8.9,21.7,0.65,0.6579999999999999,0.7020000000000001,0.624,4.0,2.0,2160.0,75.0,61.9,68.4,65.1,71.8,74.8,68.8,0.797,0.773,26.0,10.7,10.5,11.0,111.0,86.0,29.1,175.0,33.2,8.0,68.4,13.2,25.7,95.6,93.8,97.5,6.8,0.5,9.5,0.8,54.4,2.5,-5.0,13.0,2.5,2.45,2.1,100.0,43.9,15.6,1.48,76.0,4.9,13.4,57.0,25.9,1.2,31.9,1.18
 Bahrain,8.0,13.8,16.0,0.54,23.4,,2.0,,0.39,4.6,76.2,0.685,1.0,64.1,70.7,16708.0,49008.0,13.7,15.1,13.0,175.6,4.5,0.8,0.8,100.0,0.945,0.21600000000000003,26.8,43837.0,58.6,57.0,100.0,99.0,41.0,25.6,36607.0,0.1,16.0,0.5,0.777,0.8220000000000001,0.81,0.892,,,,26.8,,,6.3,,,,0.816,2.0,1.0,10452.0,90.5,43.6,87.1,71.6,76.6,77.7,75.8,0.871,0.8220000000000001,15.0,9.1,8.9,9.1,174.3,60.0,6.7,75.0,7.8,3.0,87.1,,26.8,57.9,61.6,55.6,1.0,0.0,1.3,0.1,88.9,0.5,3.6,12.0,0.5,,0.0,100.0,21.3,17.5,7.8,16.0,1.2,5.4,1.9,66.7,,26.8,2.0
 Bangladesh,26.1,86.8,221.0,0.15,0.5,8.67,1.01,29.0,0.40299999999999997,2.7,60.0,0.47700000000000004,44.5,35.3,54.1,1694.0,4618.0,10.9,11.2,10.7,44.5,1.5,11.0,11.0,73.8,0.8759999999999999,0.5529999999999999,28.6,2973.0,473.9,,,,13.0,28.6,3170.0,0.1,221.0,2.8,0.535,0.611,0.583,0.522,29.0,29.0,29.0,28.6,38.6,28.3,20.1,0.293,0.41200000000000003,0.374,0.637,1.0,6.0,125.0,13.9,31.9,81.1,56.6,71.8,73.5,70.3,0.797,0.611,188.0,5.2,4.4,5.6,79.6,112.0,31.4,152.0,38.6,7.7,81.1,29.4,28.6,44.0,42.0,44.8,103.7,8.0,159.4,15.3,33.5,2.8,-2.0,,2.8,8.67,37.6,51.4,19.9,19.8,2.12,221.0,4.4,10.3,59.3,26.5,78.2,46.1,1.01
 Belarus,21.9,19.7,58.0,0.37,6.7,1.56,1.0,7.1,0.25,5.4,41.3,0.835,9.6,56.8,63.8,14237.0,20746.0,15.5,16.0,15.0,110.7,2.4,42.5,42.5,92.4,1.025,0.146,34.8,17944.0,170.0,103.0,98.0,105.0,90.0,33.2,17264.0,0.3,58.0,3.6,0.815,0.795,0.807,0.778,7.1,7.1,7.1,34.8,3.7,10.8,6.8,0.804,0.7490000000000001,0.6940000000000001,0.753,3.0,1.0,5375.0,59.0,58.5,70.8,64.1,72.5,78.0,66.9,0.8079999999999999,0.795,4.0,12.1,12.0,12.1,120.2,90.0,3.2,261.0,4.2,20.3,70.8,7.1,34.8,89.3,87.0,92.2,6.6,1.3,9.5,0.6,76.7,3.6,-2.2,16.0,3.6,1.56,6.6,100.0,51.2,29.5,1.0,58.0,0.5,1.1,2.4,72.0,0.3,22.6,1.0
 Belgium,9.2,6.0,9.1,0.2,8.3,2.15,0.97,7.9,0.10400000000000001,10.4,154.5,0.883,1.2,77.4,49.0,32850.0,50629.0,19.7,20.7,18.7,164.7,-4.5,22.6,22.6,72.4,0.971,0.057,23.3,41360.0,463.6,118.0,104.0,162.0,73.0,23.0,41583.0,,9.1,1.9,0.894,0.92,0.909,0.9109999999999999,7.9,7.9,7.9,23.3,8.1,11.6,3.9,0.8109999999999999,0.8370000000000001,0.805,0.899,1.0,4.0,7887.0,85.0,48.0,59.4,53.6,80.8,83.2,78.3,0.935,0.92,7.0,11.5,11.2,11.6,113.5,53.0,3.3,91.0,4.1,27.6,59.4,7.9,23.3,82.3,80.1,84.7,7.3,2.0,11.2,0.6,97.8,1.9,-1.8,11.0,1.9,2.15,9.1,100.0,46.5,42.4,0.88,9.1,8.5,23.2,10.5,99.5,,26.1,0.97
 Belize,-0.9,67.9,24.0,0.18,1.4,4.71,1.53,21.7,0.21899999999999997,5.8,57.5,0.7040000000000001,16.3,66.9,59.4,5570.0,9098.0,12.8,13.0,12.5,126.6,8.3,60.1,60.1,,0.972,0.381,21.3,8000.0,2.8,50.0,112.0,80.0,,19.8,7330.0,1.9,24.0,35.0,0.695,0.7140000000000001,0.706,0.649,21.7,21.7,21.7,21.3,15.9,37.9,11.4,0.5920000000000001,0.546,0.40299999999999997,0.682,4.0,5.0,321.0,38.7,52.9,81.8,67.2,70.0,73.0,67.4,0.77,0.7140000000000001,28.0,10.5,10.5,10.5,49.0,131.0,14.0,222.0,16.3,5.9,81.8,22.7,21.3,77.6,77.9,77.4,0.2,0.0,0.4,0.0,45.3,35.0,-8.1,22.0,35.0,4.71,36.9,87.6,41.0,13.3,3.18,24.0,11.6,23.0,22.9,52.3,9.6,52.4,1.53
 Benin,3.8,93.5,61.0,0.31,0.6,3.13,1.08,37.1,0.368,3.6,21.3,0.46,41.1,40.1,68.9,1726.0,2252.0,12.6,10.9,14.2,76.5,4.2,38.7,38.7,44.4,0.86,0.614,28.6,2001.0,20.6,21.0,130.0,56.0,16.0,28.6,1988.0,1.0,61.0,,0.46799999999999997,0.544,0.505,0.452,37.1,37.1,37.1,28.6,44.8,29.4,37.0,0.254,0.316,0.319,0.391,14.0,32.0,242.0,6.0,68.3,73.4,70.8,60.4,61.8,58.9,0.621,0.544,414.0,3.3,2.7,4.3,84.2,222.0,66.1,269.0,102.8,6.0,73.4,37.4,28.6,23.3,15.8,30.8,5.5,0.3,10.3,1.7,45.2,,-3.2,46.0,,3.13,52.5,13.7,55.5,8.4,1.21,61.0,2.6,5.4,87.8,13.6,68.3,80.8,1.08
 Bhutan,23.8,27.6,172.0,0.17,1.3,0.73,1.08,28.9,0.366,3.2,47.3,0.44299999999999995,56.7,32.5,62.7,4980.0,8522.0,12.2,12.2,12.0,93.6,1.5,72.0,72.0,,0.8859999999999999,0.502,51.7,7366.0,5.7,17.0,100.0,82.0,,53.5,6863.0,,172.0,,0.56,0.632,0.599,0.639,28.9,28.9,28.9,51.7,44.8,19.6,22.2,0.245,0.42,0.514,0.5920000000000001,1.0,3.0,133.0,30.3,54.9,72.4,64.4,69.4,69.6,69.2,0.76,0.632,156.0,3.1,2.1,4.2,80.4,214.0,28.8,210.0,35.1,6.8,72.4,29.8,51.7,9.6,5.8,13.4,0.5,0.0,0.8,0.1,37.9,,,40.0,,0.73,87.0,95.0,29.6,8.3,1.85,172.0,2.6,9.2,69.5,27.7,11.1,41.4,1.08
 Bolivia (Plurinational State of),,71.7,120.0,0.31,1.9,3.57,1.53,28.4,0.467,5.8,55.2,0.667,30.9,48.5,69.9,4327.0,7694.0,13.8,13.5,14.1,85.3,2.0,50.8,50.8,85.2,0.9259999999999999,0.452,21.0,6325.0,66.8,68.0,97.0,85.0,,21.0,6013.0,0.3,120.0,8.9,0.6459999999999999,0.698,0.675,0.619,28.4,28.4,28.4,21.0,24.7,36.1,24.5,0.502,0.48100000000000004,0.395,0.562,8.0,11.0,871.0,34.6,60.9,81.8,71.3,68.4,70.9,65.9,0.7440000000000001,0.698,215.0,8.5,7.8,9.2,98.9,155.0,31.5,219.0,39.6,10.4,81.8,28.6,21.0,52.9,49.6,58.7,6.4,0.7,10.6,1.2,68.0,8.9,0.1,18.0,8.9,3.57,16.8,71.5,42.3,51.8,2.0,120.0,2.0,4.6,33.8,38.0,11.1,54.1,1.53
 Bosnia and Herzegovina,,11.7,42.0,0.59,6.2,11.35,1.03,13.1,0.107,9.6,58.6,0.6990000000000001,17.1,52.9,34.0,7109.0,14221.0,14.2,14.5,14.3,90.6,2.9,42.7,42.7,77.5,0.912,,19.1,10517.0,37.5,,,,,19.5,10600.0,,42.0,1.4,0.718,0.7879999999999999,0.754,0.7040000000000001,13.1,13.1,13.1,19.1,12.5,20.2,6.7,0.612,0.654,0.562,0.812,8.0,11.0,536.0,49.9,36.0,58.5,47.0,76.6,79.1,74.0,0.87,0.7879999999999999,12.0,9.2,7.8,10.6,97.9,66.0,5.3,129.0,6.1,21.8,58.5,13.3,19.1,78.0,69.5,87.5,2.5,0.5,3.6,0.2,46.8,1.4,-2.5,17.0,1.4,11.35,41.7,100.0,37.1,,1.24,42.0,27.5,62.7,18.5,47.1,0.2,20.9,1.03
 Botswana,29.6,36.3,385.0,0.2,3.2,0.28,1.21,36.5,0.828,5.3,8.3,0.6559999999999999,26.4,59.9,58.8,14067.0,17112.0,12.6,12.8,12.5,114.8,3.2,19.3,19.3,74.7,0.992,0.452,27.9,15915.0,34.5,20.0,105.0,,26.0,30.5,15572.0,22.4,385.0,,0.6990000000000001,0.705,0.701,0.763,36.5,36.5,36.5,27.9,32.1,55.5,21.9,0.446,0.433,0.33899999999999997,0.5379999999999999,2.0,3.0,1966.0,36.7,64.8,78.2,71.4,64.8,67.7,61.8,0.6890000000000001,0.705,134.0,9.2,9.1,9.5,157.3,210.0,35.9,328.0,44.6,5.7,78.2,38.2,27.9,85.9,85.1,86.7,1.4,0.1,2.2,0.3,66.4,,0.7,,,0.28,28.8,34.6,47.5,9.5,1.48,385.0,17.6,35.4,15.3,48.7,21.2,49.7,1.21
 Brazil,7.3,65.1,43.0,0.17,2.6,0.11,1.18,25.6,0.147,8.4,103.4,0.664,10.4,66.8,59.7,12016.0,18218.0,15.0,15.7,14.7,24.7,4.0,59.2,59.2,59.1,1.008,0.42,20.5,15374.0,3139.6,89.0,111.0,102.0,49.0,19.9,15067.0,0.6,43.0,28.0,0.7559999999999999,0.75,0.752,0.758,25.6,25.6,25.6,20.5,23.6,38.7,14.5,0.507,0.5539999999999999,0.46399999999999997,0.7240000000000001,2.0,3.0,6430.0,54.6,52.9,75.7,64.0,75.0,78.7,71.4,0.847,0.75,46.0,7.4,7.7,7.2,137.5,96.0,14.7,196.0,16.4,11.1,75.7,26.3,20.5,57.5,57.7,54.7,141.6,15.7,204.2,14.9,85.5,28.0,-4.5,21.0,28.0,0.11,41.8,97.8,44.2,10.4,1.45,43.0,6.7,15.8,26.0,64.8,4.7,33.1,1.18
 Brunei Darussalam,43.4,12.6,55.0,0.29,22.1,,1.08,,0.6409999999999999,2.2,25.5,0.71,0.6,80.8,63.2,63922.0,88158.0,14.8,15.4,14.6,99.4,3.3,72.1,72.1,100.0,0.99,,27.4,76089.0,31.3,71.0,105.0,99.0,32.0,27.3,76417.0,,55.0,,0.848,0.856,0.853,1.0,,,,27.4,,,4.4,,,,0.8370000000000001,1.0,3.0,201.0,68.8,59.7,75.7,68.0,76.9,78.6,75.3,0.8759999999999999,0.856,23.0,9.0,8.9,9.1,109.8,74.0,8.6,105.0,10.1,5.4,75.7,,27.4,68.6,67.7,69.6,0.3,0.0,0.4,0.0,76.3,,1.3,10.0,,,0.0,100.0,42.1,,1.33,55.0,7.0,26.1,4.6,,0.3,33.5,1.08
 Bulgaria,9.3,41.9,32.0,0.36,5.9,2.97,1.0,10.4,0.105,8.5,62.4,0.7859999999999999,7.0,62.9,48.0,12914.0,19610.0,15.2,15.4,14.9,131.0,3.6,35.1,35.1,71.0,0.991,0.23199999999999998,21.4,16302.0,117.8,84.0,99.0,104.0,68.0,21.1,16171.0,0.1,32.0,1.6,0.7929999999999999,0.8,0.797,0.768,10.4,10.4,10.4,21.4,5.5,17.8,7.9,0.743,0.713,0.632,0.772,10.0,7.0,7311.0,55.5,48.6,60.1,54.2,74.5,78.0,71.1,0.838,0.8,11.0,10.9,11.0,10.9,131.4,,7.4,,8.8,29.7,60.1,10.6,21.4,94.2,93.1,95.5,4.8,1.4,7.2,0.3,73.7,1.6,-5.0,18.0,1.6,2.97,17.0,100.0,48.3,20.0,0.85,32.0,11.4,23.8,8.7,63.2,,20.8,1.0
