 Burkina Faso,-1.9,112.4,54.0,0.1,0.2,3.2,1.59,34.6,0.55,5.6,29.9,0.266,30.7,37.6,62.4,1187.0,1853.0,7.9,7.5,8.2,60.9,2.9,19.8,19.8,,0.86,,25.9,1582.0,27.8,4.0,87.0,30.0,5.0,24.9,1518.0,0.9,54.0,0.8,0.374,0.435,0.405,0.41100000000000003,34.6,34.6,34.6,25.9,38.6,24.2,41.1,0.163,0.263,0.311,0.358,5.0,12.0,191.0,9.4,58.3,75.5,66.7,59.5,60.0,58.7,0.607,0.435,379.0,1.4,1.0,2.0,71.0,247.0,56.3,278.0,92.8,4.7,75.5,35.0,25.9,8.5,6.0,11.5,9.1,0.4,17.6,3.1,26.9,0.8,-1.7,44.0,0.8,3.2,75.2,3.0,48.6,,2.32,54.0,6.5,8.6,87.7,12.6,70.1,88.3,1.59
 Burundi,-10.0,29.0,126.0,0.06,0.0,1.82,0.69,31.5,0.517,6.8,25.6,0.419,91.1,6.4,76.9,921.0,678.0,11.7,10.9,11.9,41.3,2.6,10.6,10.6,,0.993,0.48200000000000004,27.8,803.0,7.9,11.0,138.0,40.0,5.0,27.8,802.0,1.2,126.0,5.7,0.418,0.42100000000000004,0.42100000000000004,0.314,31.5,31.5,31.5,27.8,36.9,14.1,43.6,0.264,0.28300000000000003,0.27,0.318,2.0,6.0,235.0,1.4,79.6,76.7,78.2,56.7,58.7,54.8,0.564,0.42100000000000004,737.0,2.8,2.6,3.6,32.3,269.0,52.0,327.0,77.9,4.7,76.7,32.6,27.8,8.3,7.1,9.6,5.2,0.2,9.9,1.8,11.8,5.7,-4.5,44.0,5.7,1.82,94.6,2.0,22.4,34.9,0.55,126.0,1.6,2.9,92.3,6.7,83.5,84.3,0.69
 Cabo Verde,8.6,78.3,138.0,0.16,0.9,10.6,1.09,19.4,0.35100000000000003,5.0,85.2,0.5429999999999999,68.7,24.4,53.6,3951.0,7327.0,12.6,12.8,12.1,101.0,9.7,22.1,22.1,,,,37.0,5928.0,3.1,66.0,100.0,86.0,23.0,34.5,5632.0,0.8,138.0,12.3,,,0.644,0.609,19.4,19.4,19.4,37.0,18.2,28.0,12.0,0.444,0.517,0.43799999999999994,0.71,1.0,7.0,494.0,40.3,48.1,71.8,59.8,72.4,74.3,70.3,0.8059999999999999,,44.0,5.8,,,116.5,105.0,19.6,150.0,23.0,7.2,71.8,19.7,37.0,,,,0.3,0.0,0.5,0.1,63.8,12.3,-7.9,23.0,12.3,10.6,26.2,81.3,29.5,20.8,1.14,138.0,10.4,17.8,38.0,,40.3,49.7,1.09
 Cambodia,4.7,49.2,390.0,0.14,0.4,2.26,1.0,24.6,0.327,6.2,55.7,0.479,30.5,43.5,84.5,2565.0,3343.0,11.6,11.1,12.1,129.6,10.3,54.3,54.3,30.7,0.912,0.47700000000000004,22.1,3124.0,47.7,18.0,117.0,,,21.0,2945.0,0.6,390.0,,0.537,0.589,0.5660000000000001,0.511,24.6,24.6,24.6,22.1,28.3,20.3,25.3,0.34299999999999997,0.426,0.40700000000000003,0.555,6.0,17.0,4503.0,14.0,81.0,88.6,84.6,68.3,70.2,66.1,0.742,0.589,167.0,4.7,3.7,5.4,133.9,147.0,28.9,212.0,33.7,6.3,88.6,24.7,22.1,18.9,13.2,26.1,9.8,0.6,15.3,1.8,21.8,,-9.9,45.0,,2.26,68.0,49.2,50.3,18.5,1.0,390.0,0.2,0.4,53.0,20.5,56.1,49.6,1.0
 Cameroon,3.2,116.0,220.0,0.1,0.3,0.81,1.2,32.4,0.436,4.9,14.9,0.537,62.9,27.9,72.9,2623.0,3716.0,12.2,11.0,12.6,55.1,2.1,40.3,40.3,29.9,0.8640000000000001,0.5760000000000001,24.1,3196.0,71.1,35.0,116.0,59.0,17.0,23.7,3170.0,4.1,220.0,,0.498,0.5760000000000001,0.5429999999999999,0.522,32.4,32.4,32.4,24.1,34.8,23.1,39.4,0.35,0.365,0.401,0.34600000000000003,7.0,20.0,822.0,16.2,71.0,81.5,76.2,57.1,58.3,55.9,0.5710000000000001,0.5760000000000001,609.0,6.0,4.5,7.2,76.6,328.0,57.0,363.0,87.5,5.9,81.5,32.8,24.1,31.8,31.7,37.9,11.9,0.7,22.2,3.7,54.0,,-1.9,44.0,,0.81,77.0,22.2,42.3,27.1,1.51,220.0,4.3,9.1,71.4,10.2,40.3,80.5,1.2
 Canada,8.8,10.8,5.1,0.35,15.1,0.07,0.9,8.6,0.17800000000000002,10.0,,0.887,2.1,78.4,61.2,33815.0,51089.0,16.3,16.8,15.9,64.1,3.6,38.2,38.2,73.4,0.985,0.10400000000000001,24.9,43079.0,1530.8,,102.0,110.0,,24.4,42383.0,,5.1,1.5,0.91,0.924,0.9179999999999999,0.914,8.6,8.6,8.6,24.9,3.9,17.4,4.6,0.852,0.8370000000000001,0.755,0.91,4.0,10.0,16537.0,87.1,61.1,70.5,65.7,82.0,84.0,80.0,0.9540000000000001,0.924,7.0,13.0,13.2,12.8,80.9,,4.6,,5.2,23.0,70.5,8.9,24.9,100.0,100.0,100.0,24.3,5.6,35.6,1.9,81.2,1.5,-1.8,,1.5,0.07,22.0,100.0,47.9,28.5,0.86,5.1,6.9,13.5,10.7,99.2,,23.5,0.9
 Chile,5.2,48.9,16.0,0.21,4.7,0.02,1.15,18.2,0.33399999999999996,7.6,119.3,0.784,9.4,67.1,58.1,14653.0,28494.0,16.1,16.6,16.1,65.3,9.1,23.4,23.4,73.4,0.9590000000000001,0.327,23.2,22195.0,390.9,82.0,98.0,99.0,86.0,23.8,21507.0,0.5,16.0,3.6,0.815,0.85,0.833,0.8109999999999999,18.2,18.2,18.2,23.2,12.6,36.0,5.9,0.685,0.6729999999999999,0.519,0.856,1.0,3.0,3674.0,61.1,50.1,74.7,62.2,79.1,81.6,76.5,0.91,0.85,23.0,10.1,9.9,10.4,134.4,68.0,7.4,113.0,8.5,14.7,74.7,19.3,23.2,78.0,76.1,79.0,12.1,1.8,17.6,1.2,87.3,3.6,-5.7,19.0,3.6,0.02,26.7,100.0,43.0,16.5,1.14,16.0,6.7,17.2,23.0,59.2,1.5,30.7,1.15
 China,26.9,6.7,68.0,0.59,7.5,0.28,0.92,,0.10099999999999999,5.0,167.2,0.637,20.7,51.2,66.8,10139.0,15257.0,13.8,14.0,13.6,44.9,2.6,22.0,22.0,87.5,0.953,0.161,47.0,12759.0,17406.2,78.0,99.0,,41.0,45.0,12775.0,,68.0,0.7,0.72,0.7559999999999999,0.738,0.733,,,,47.0,,29.5,9.8,,,0.517,0.7759999999999999,1.0,1.0,55622.0,47.9,62.8,77.0,70.0,75.9,77.5,74.5,0.861,0.7559999999999999,28.0,7.6,7.3,8.1,92.5,69.0,9.9,95.0,11.5,12.8,77.0,,47.0,75.0,69.8,79.4,1014.9,129.4,1390.1,85.7,54.3,0.7,-2.2,16.0,0.7,0.28,12.2,100.0,42.3,23.4,0.78,68.0,4.6,10.7,33.5,76.3,13.2,24.2,0.92
 Colombia,4.3,54.2,30.0,0.14,1.8,1.1,1.32,24.1,0.45899999999999996,6.4,71.0,0.6659999999999999,16.1,64.1,64.4,9470.0,15248.0,14.4,14.7,14.1,37.3,4.3,52.8,52.8,76.7,0.992,0.39299999999999996,26.3,12716.0,607.7,,114.0,99.0,53.0,25.8,12315.0,0.4,30.0,27.9,0.7340000000000001,0.74,0.738,0.727,24.1,24.1,24.1,26.3,21.3,37.4,13.5,0.524,0.556,0.455,0.7190000000000001,9.0,9.0,2552.0,52.6,58.4,83.0,70.4,74.0,77.7,70.5,0.831,0.74,66.0,8.0,8.1,7.9,115.8,90.0,14.0,193.0,16.3,9.9,83.0,24.7,26.3,49.4,50.3,48.4,32.8,3.2,47.8,3.8,79.4,27.9,-6.3,24.0,27.9,1.1,24.4,90.5,46.2,20.9,1.68,30.0,8.5,17.8,46.8,34.0,8.9,36.0,1.32
 Congo (Democratic Republic of the),-12.4,127.4,325.0,0.08,0.1,0.06,1.11,35.3,0.462,4.4,7.9,0.467,81.4,6.5,69.8,629.0,796.0,9.4,8.2,10.5,78.7,5.1,67.4,67.4,5.4,0.82,0.652,23.2,785.0,57.9,4.0,110.0,46.0,,23.1,713.0,0.8,325.0,,0.391,0.47600000000000003,0.436,0.297,35.3,35.3,35.3,23.2,27.7,28.2,49.9,0.337,0.278,0.213,0.299,19.0,23.0,,3.0,71.4,73.6,72.5,58.8,60.2,57.3,0.597,0.47600000000000003,717.0,6.2,4.3,8.1,50.3,240.0,76.0,288.0,101.0,6.0,73.6,36.2,23.2,45.1,30.6,61.3,37.3,2.2,73.7,13.7,42.2,,-4.1,35.0,,0.06,92.9,0.4,37.5,9.7,1.47,325.0,3.7,7.3,53.4,14.3,90.9,91.7,1.11
 Costa Rica,13.3,57.4,12.0,0.11,1.6,1.17,1.19,19.0,0.436,8.2,70.5,0.698,11.2,71.2,57.2,10156.0,17426.0,14.8,15.6,14.5,67.0,6.4,53.4,53.4,49.5,0.976,0.308,18.8,14372.0,68.4,79.0,111.0,120.0,53.0,19.5,13794.0,0.4,12.0,10.0,0.772,0.7909999999999999,0.78,0.7440000000000001,19.0,19.0,19.0,18.8,15.5,34.3,7.3,0.59,0.625,0.489,0.848,9.0,5.0,2527.0,53.0,49.3,76.7,62.9,79.4,81.9,77.0,0.914,0.7909999999999999,26.0,8.6,8.7,8.8,147.6,60.0,8.2,114.0,9.4,12.5,76.7,19.9,18.8,54.2,54.5,53.8,3.3,0.4,4.8,0.4,75.9,10.0,-6.7,13.0,10.0,1.17,37.8,98.4,41.4,33.3,1.59,12.0,9.1,25.3,15.4,60.2,1.6,33.0,1.19
 Croatia,8.7,10.6,13.0,0.2,4.0,3.73,1.01,8.9,0.078,7.5,89.5,0.7929999999999999,9.5,63.5,43.4,16879.0,23212.0,15.2,15.8,14.6,88.7,6.9,34.3,34.3,70.7,0.996,0.12,18.8,20334.0,86.2,61.0,99.0,99.0,68.0,19.3,19930.0,0.1,13.0,0.8,0.8240000000000001,0.8270000000000001,0.8240000000000001,0.8,8.9,8.9,8.9,18.8,4.3,17.2,5.2,0.758,0.7490000000000001,0.662,0.836,2.0,6.0,11623.0,68.6,46.5,58.9,52.4,77.3,80.6,73.9,0.882,0.8270000000000001,9.0,11.1,11.0,11.6,104.8,57.0,4.2,134.0,4.9,27.9,58.9,9.1,18.8,93.9,92.0,96.0,2.8,0.8,4.3,0.2,55.9,0.8,-1.4,14.0,0.8,3.73,33.6,100.0,46.7,23.8,1.11,13.0,17.3,45.6,10.4,87.7,,22.4,1.01
 Cuba,,47.5,7.3,,3.0,,0.98,,0.215,,,0.767,18.9,64.2,53.4,4842.0,9661.0,14.2,14.4,13.5,39.3,,30.2,30.2,85.8,0.9490000000000001,0.309,7.6,,,99.0,102.0,99.0,41.0,7.3,7254.0,0.3,7.3,5.2,0.747,0.787,0.768,0.647,,,,7.6,11.3,,5.1,0.68,,,0.867,1.0,1.0,2970.0,29.1,42.0,67.8,54.9,79.4,81.5,77.4,0.914,0.787,40.0,11.2,11.5,11.7,22.1,72.0,4.3,109.0,5.7,19.4,67.8,,7.6,84.8,83.9,86.7,8.0,1.6,11.4,0.6,76.9,5.2,,9.0,5.2,,18.8,100.0,43.4,48.9,1.33,7.3,2.7,5.7,10.3,,2.8,23.5,0.98
 Cyprus,-0.4,5.1,3.9,0.24,5.3,1.14,0.96,10.6,0.18600000000000003,6.8,306.0,0.7929999999999999,4.4,79.1,53.1,23637.0,33747.0,14.3,14.7,13.8,122.1,-3.2,18.7,18.7,92.9,0.982,0.114,12.3,29786.0,25.4,77.0,99.0,99.0,53.0,11.7,28696.0,,3.9,1.0,0.848,0.863,0.856,0.855,10.6,10.6,10.6,12.3,13.1,15.0,3.7,0.6890000000000001,0.764,0.727,0.8909999999999999,1.0,14.0,2441.0,69.3,57.8,68.7,63.3,80.2,82.4,78.0,0.9259999999999999,0.863,7.0,11.9,11.8,12.0,130.2,35.0,2.3,70.0,2.9,17.8,68.7,10.7,12.3,79.0,77.0,81.1,0.8,0.1,1.2,0.1,67.0,1.0,-24.9,13.0,1.0,1.14,9.4,100.0,47.6,12.5,0.87,3.9,16.1,34.5,14.4,90.3,,24.2,0.96
 Czechia,,10.6,5.1,0.32,9.2,1.26,1.05,5.4,0.113,7.7,72.5,0.893,2.8,59.2,55.8,20238.0,34229.0,16.7,17.6,16.1,158.7,3.9,34.5,34.5,74.7,0.983,0.13699999999999998,25.9,29120.0,306.5,104.0,99.0,105.0,66.0,25.1,27113.0,0.1,5.1,0.8,0.87,0.885,0.879,0.846,5.4,5.4,5.4,25.9,1.4,11.0,3.7,0.88,0.831,0.753,0.866,1.0,1.0,8096.0,74.2,51.0,68.4,59.4,78.4,81.4,75.4,0.899,0.885,4.0,12.8,12.6,13.1,131.3,53.0,2.5,115.0,3.1,25.9,68.4,5.5,25.9,99.8,99.8,99.8,7.2,1.9,10.6,0.6,73.4,0.8,0.2,,0.8,1.26,14.8,100.0,43.8,18.5,1.45,5.1,6.1,15.9,14.6,79.4,,22.1,1.05
 Côte d'Ivoire,25.4,135.0,165.0,0.16,0.5,1.09,1.34,37.6,0.35700000000000004,5.2,29.0,0.39299999999999996,50.4,43.6,56.8,1437.0,4468.0,8.8,7.7,9.7,62.4,1.2,32.7,32.7,26.5,0.7809999999999999,0.6679999999999999,19.8,3055.0,68.8,6.0,88.0,40.0,9.0,18.9,2977.0,3.0,165.0,,0.40399999999999997,0.517,0.465,0.513,37.6,37.6,37.6,19.8,45.1,27.4,40.2,0.21600000000000003,0.289,0.37200000000000005,0.299,7.0,41.0,471.0,19.3,48.0,68.3,58.4,52.5,54.0,51.1,0.5,0.517,665.0,4.4,3.7,5.9,98.1,383.0,70.1,421.0,98.3,5.3,68.3,38.0,19.8,24.2,16.6,32.7,,0.7,22.5,3.7,49.0,,-3.8,43.0,,1.09,72.2,36.5,45.5,9.4,1.64,165.0,2.8,3.9,74.6,29.2,53.3,79.2,1.34
 Denmark,18.3,4.5,5.9,0.13,5.9,0.42,0.92,7.1,0.091,10.3,218.1,0.927,2.5,78.3,58.0,39153.0,54345.0,19.1,20.0,18.3,102.3,1.9,14.5,14.5,68.5,0.9740000000000001,0.042,20.1,45057.0,254.3,96.0,101.0,129.0,81.0,19.2,46706.0,,5.9,1.3,0.915,0.94,0.9279999999999999,0.9279999999999999,7.1,7.1,7.1,20.1,3.0,14.4,4.0,0.899,0.861,0.795,0.892,4.0,10.0,10267.0,96.0,58.0,66.3,62.1,80.4,82.4,78.4,0.929,0.94,7.0,12.8,12.7,12.9,126.4,52.0,3.5,87.0,4.2,28.8,66.3,7.3,20.1,89.5,89.1,89.9,3.6,1.1,5.7,0.3,87.4,1.3,3.9,11.0,1.3,0.42,30.3,100.0,48.0,39.1,1.06,5.9,6.6,12.6,5.4,100.0,,26.4,0.92
 Dominican Republic,16.2,99.2,60.0,0.16,2.1,7.28,1.54,23.4,0.191,6.1,48.8,0.624,14.4,68.2,62.0,8901.0,14890.0,13.2,13.7,12.7,56.2,3.6,40.4,40.4,86.5,0.995,0.475,23.0,12663.0,131.8,44.0,101.0,78.0,48.0,23.1,11886.0,1.1,60.0,17.4,0.7140000000000001,0.718,0.718,0.722,23.4,23.4,23.4,23.0,22.9,30.3,16.9,0.48100000000000004,0.5489999999999999,0.503,0.684,5.0,12.0,5141.0,49.6,53.2,79.7,66.3,73.5,76.7,70.4,0.823,0.718,98.0,7.8,7.9,7.4,79.8,120.0,26.7,206.0,32.2,10.3,79.7,23.6,23.0,56.4,57.2,55.5,6.6,0.7,10.4,1.1,77.7,17.4,-5.6,21.0,17.4,7.28,18.0,95.6,44.6,19.1,2.21,60.0,6.4,12.9,42.6,56.0,5.2,47.8,1.54
 Ecuador,11.5,76.5,54.0,0.25,2.8,2.43,1.21,21.8,0.5,8.6,31.4,0.6709999999999999,25.3,54.8,61.9,7096.0,14373.0,14.0,15.1,13.9,57.7,0.8,50.8,50.8,86.9,0.966,0.395,28.3,10901.0,173.4,63.0,113.0,104.0,,27.2,10735.0,0.3,54.0,8.2,0.728,0.754,0.742,0.706,21.8,21.8,21.8,28.3,21.1,30.9,13.4,0.53,0.5770000000000001,0.488,0.7440000000000001,16.0,15.0,1557.0,45.6,48.5,80.0,64.1,75.9,78.7,73.2,0.86,0.754,66.0,8.5,8.3,8.5,104.4,87.0,18.9,164.0,22.2,10.2,80.0,22.1,28.3,48.8,48.2,49.4,10.2,1.0,15.9,1.6,63.3,8.2,-2.2,23.0,8.2,2.43,12.2,97.1,40.5,41.6,1.4,54.0,3.5,9.1,39.1,40.8,8.7,45.8,1.21
 Egypt,2.1,52.2,15.0,0.22,2.2,6.41,1.22,22.8,0.16399999999999998,4.1,87.1,0.586,27.6,48.1,42.3,3027.0,16119.0,12.7,12.6,12.8,36.9,1.5,0.1,0.1,96.0,0.8420000000000001,,13.6,9880.0,907.1,30.0,101.0,83.0,31.0,12.4,9644.0,0.1,15.0,,0.607,0.721,0.6829999999999999,0.69,22.8,22.8,22.8,13.6,40.9,14.2,13.4,0.34600000000000003,0.519,0.5920000000000001,0.6809999999999999,4.0,7.0,9628.0,33.9,22.5,74.8,48.7,71.1,73.4,69.0,0.7859999999999999,0.721,34.0,7.0,6.2,7.8,103.8,113.0,20.9,190.0,24.7,8.1,74.8,24.0,13.6,61.4,54.5,68.2,56.9,4.6,91.8,12.0,42.8,,-0.7,,,6.41,5.9,99.8,15.5,,2.71,15.0,13.1,34.1,25.2,9.3,45.8,53.2,1.22
 El Salvador,2.3,72.8,44.0,0.14,1.0,18.42,0.96,26.2,0.21,6.8,81.8,0.568,18.8,60.4,59.2,5734.0,9117.0,12.6,12.5,12.8,77.2,2.2,13.0,13.0,48.4,0.972,0.405,16.4,6891.0,43.3,66.0,107.0,77.0,28.0,15.6,7328.0,0.6,44.0,62.4,0.6609999999999999,0.68,0.67,0.649,26.2,26.2,26.2,16.4,30.2,34.0,14.5,0.397,0.491,0.428,0.6970000000000001,4.0,5.0,1345.0,24.8,47.7,78.7,61.8,73.0,77.4,68.3,0.816,0.68,54.0,6.5,6.4,7.1,146.4,105.0,13.8,265.0,16.1,12.3,78.7,26.7,16.4,41.0,39.4,46.1,4.0,0.5,6.3,0.6,68.9,62.4,-4.9,,62.4,18.42,28.3,90.3,50.2,27.4,0.63,44.0,4.2,9.7,35.4,31.9,8.6,45.5,0.96
 Estonia,14.5,15.4,20.0,0.55,14.8,2.08,0.78,8.9,0.11800000000000001,6.2,71.1,0.87,3.9,66.0,56.7,19761.0,33926.0,16.2,17.0,15.4,162.3,6.7,52.7,52.7,14.5,1.0190000000000001,0.156,27.1,27114.0,35.6,,98.0,108.0,73.0,24.4,26380.0,,20.0,3.1,0.8690000000000001,0.853,0.8640000000000001,0.8420000000000001,8.9,8.9,8.9,27.1,2.4,18.6,5.6,0.8490000000000001,0.785,0.6859999999999999,0.83,5.0,7.0,2918.0,84.2,54.6,68.9,61.2,77.1,81.5,72.3,0.879,0.853,9.0,12.6,13.0,12.2,143.9,65.0,2.6,181.0,3.3,28.3,68.9,9.1,27.1,100.0,100.0,100.0,0.9,0.2,1.3,0.1,68.3,3.1,0.1,,3.1,2.08,25.3,100.0,49.3,19.0,0.86,20.0,7.4,15.1,5.7,97.5,,24.3,0.78
 Eswatini (Kingdom of),15.8,82.0,647.0,0.12,0.9,2.19,0.99,33.1,0.223,7.2,16.6,0.528,68.2,18.9,39.3,5890.0,10015.0,11.2,10.8,11.6,105.4,0.6,33.8,33.8,,0.945,0.5760000000000001,12.3,7871.0,10.2,,109.0,65.0,,12.3,7890.0,27.6,647.0,,0.561,0.593,0.58,0.66,33.1,33.1,33.1,12.3,26.8,37.6,35.0,0.387,0.387,0.41200000000000003,0.363,1.0,3.0,939.0,26.2,41.8,66.5,53.5,56.3,59.5,52.9,0.5579999999999999,0.593,400.0,6.5,6.1,6.9,70.8,368.0,54.6,518.0,74.1,5.3,66.5,33.3,12.3,28.8,27.3,30.5,0.8,0.0,1.3,0.2,23.1,,1.4,28.0,,2.19,67.7,54.0,27.7,14.7,1.04,647.0,26.6,53.5,19.1,27.4,33.6,64.4,0.99
 Ethiopia,8.9,70.6,207.0,0.08,0.1,3.23,1.45,28.0,0.307,4.0,,0.321,71.4,20.7,78.8,1069.0,1773.0,8.5,8.1,9.1,40.7,3.3,12.5,12.5,6.1,0.838,0.537,38.0,1425.0,138.7,25.0,100.0,,8.0,38.0,1421.0,1.1,207.0,,0.405,0.484,0.445,0.401,28.0,28.0,28.0,38.0,44.3,9.5,30.2,0.179,0.314,0.363,0.478,27.0,46.0,770.0,7.7,77.1,88.9,82.9,64.5,66.4,62.7,0.685,0.484,378.0,2.5,1.5,3.7,31.3,204.0,44.4,255.0,64.4,6.3,88.9,29.4,38.0,14.9,10.8,20.7,52.9,3.4,97.4,14.7,19.0,,,,,3.23,92.1,12.2,59.3,25.5,2.4,207.0,5.0,7.1,89.0,21.0,58.5,77.7,1.45
 Finland,6.4,7.3,5.3,0.22,8.7,0.33,0.9,5.5,0.142,9.5,164.4,0.903,4.3,73.9,53.8,32874.0,46087.0,17.6,18.4,16.9,75.4,6.3,73.1,73.1,42.1,1.001,0.061,20.9,39018.0,213.1,80.0,101.0,146.0,89.0,20.6,39372.0,,5.3,1.6,0.9129999999999999,0.912,0.914,0.903,5.5,5.5,5.5,20.9,2.1,10.8,3.5,0.884,0.8640000000000001,0.805,0.905,1.0,4.0,2731.0,86.5,55.5,62.4,58.9,81.0,83.9,78.0,0.938,0.912,3.0,12.4,12.6,12.2,139.2,45.0,2.0,99.0,2.5,30.8,62.4,5.5,20.9,100.0,100.0,100.0,3.5,1.1,5.5,0.3,85.2,1.6,-4.7,13.0,1.6,0.33,41.2,100.0,49.6,42.5,0.85,5.3,8.7,20.4,9.8,100.0,,25.6,0.9
 France,6.5,9.2,8.2,0.12,4.6,0.89,0.96,8.6,0.092,11.1,146.8,0.833,2.9,76.6,50.0,31428.0,44980.0,16.3,16.7,15.9,60.5,0.2,30.8,30.8,46.2,0.988,0.10400000000000001,22.7,37524.0,2488.4,109.0,106.0,111.0,64.0,21.8,38085.0,0.4,8.2,1.2,0.888,0.899,0.894,0.898,8.6,8.6,8.6,22.7,8.0,13.9,4.0,0.767,0.816,0.773,0.9179999999999999,1.0,9.0,83701.0,83.8,50.9,61.0,55.8,82.2,85.2,79.1,0.9570000000000001,0.899,9.0,11.4,11.1,11.7,101.9,49.0,3.3,100.0,4.0,29.3,61.0,8.7,22.7,82.5,79.7,85.5,40.6,11.9,64.2,3.9,79.4,1.2,0.7,,1.2,0.89,13.3,100.0,47.6,25.7,0.95,8.2,10.3,24.2,7.4,95.5,,29.0,0.96
 Georgia,8.6,49.3,106.0,0.28,2.4,12.03,0.96,13.2,0.222,8.4,52.5,0.816,43.6,44.7,58.8,5745.0,11874.0,14.2,14.5,14.0,103.4,11.0,40.6,40.6,72.2,0.975,0.374,29.8,8749.0,32.6,,105.0,99.0,41.0,25.8,8669.0,0.4,106.0,2.7,0.752,0.7709999999999999,0.765,0.674,13.2,13.2,13.2,29.8,3.3,23.4,12.9,0.789,0.6609999999999999,0.516,0.71,1.0,8.0,5516.0,44.0,57.4,78.3,67.1,73.0,77.2,68.7,0.815,0.7709999999999999,37.0,12.6,12.6,12.6,135.3,80.0,11.0,229.0,12.3,21.6,78.3,13.6,29.8,96.7,96.1,96.0,2.7,0.6,4.0,0.3,57.1,2.7,-9.8,9.0,2.7,12.03,31.9,100.0,45.7,12.0,0.74,106.0,12.4,30.4,59.1,39.8,17.8,27.6,0.96
 Germany,12.9,7.6,6.1,0.2,8.9,0.44,0.93,6.7,0.09699999999999999,11.1,139.8,0.9359999999999999,1.4,70.5,57.4,35761.0,53396.0,16.9,16.7,17.0,84.5,0.5,32.7,32.7,79.7,0.966,0.075,19.5,43561.0,3527.6,108.0,101.0,101.0,64.0,20.0,44429.0,,6.1,0.9,0.912,0.9440000000000001,0.93,0.9209999999999999,6.7,6.7,6.7,19.5,2.4,14.1,3.7,0.9129999999999999,0.866,0.7909999999999999,0.899,1.0,3.0,32999.0,86.2,54.5,66.5,60.4,80.7,83.1,78.2,0.934,0.9440000000000001,6.0,14.0,13.5,14.3,122.1,50.0,3.3,91.0,3.9,31.9,66.5,6.9,19.5,96.7,96.4,97.0,53.7,17.1,81.5,3.5,77.2,0.9,7.0,12.0,0.9,0.44,13.4,100.0,46.6,35.6,0.87,6.1,5.0,7.7,6.4,99.4,,20.0,0.93
 Ghana,-11.3,69.9,165.0,0.14,0.5,5.14,1.07,33.1,0.431,5.5,38.2,0.541,44.7,41.2,75.1,3087.0,4320.0,11.2,10.9,11.5,88.5,8.6,40.9,40.9,52.3,0.898,0.551,18.8,3869.0,104.3,113.0,105.0,56.0,16.0,17.9,3700.0,1.7,165.0,,0.544,0.606,0.5760000000000001,0.545,33.1,33.1,33.1,18.8,36.7,31.7,30.8,0.342,0.385,0.373,0.449,1.0,8.0,825.0,25.5,74.4,79.2,76.7,62.2,63.1,61.2,0.649,0.606,322.0,6.9,5.8,7.9,112.6,229.0,43.8,268.0,63.4,5.9,79.2,33.1,18.8,59.8,51.8,68.5,15.5,0.9,27.0,4.0,53.4,,-10.7,30.0,,5.14,45.0,63.0,53.0,10.9,1.15,165.0,2.2,4.5,67.4,39.4,27.4,67.6,1.07
