 Malaysia,12.7,13.2,92.0,0.33,8.0,0.47,1.1,,0.17800000000000002,3.9,140.5,0.708,12.2,59.7,62.2,17668.0,28765.0,13.3,13.9,12.8,138.3,3.1,67.5,67.5,96.6,0.975,0.284,25.0,24195.0,731.4,91.0,105.0,85.0,37.0,26.0,23403.0,0.5,92.0,,0.777,0.7979999999999999,0.79,0.8240000000000001,,,,25.0,,,4.9,,,,0.804,1.0,6.0,27437.0,63.7,50.0,77.2,64.1,75.0,77.4,72.8,0.846,0.7979999999999999,41.0,10.1,9.8,10.2,148.6,86.0,6.9,160.0,8.1,8.2,77.2,,25.0,77.1,75.4,78.8,20.8,1.7,30.2,2.5,73.6,,5.1,11.0,,0.47,4.8,99.9,39.1,14.2,1.19,92.0,2.9,9.9,21.1,78.1,1.4,37.0,1.1
 Maldives,,8.4,39.0,0.24,3.3,0.09,0.99,23.8,0.758,13.0,58.3,0.551,8.1,68.9,63.5,7028.0,16354.0,12.4,12.8,12.7,163.8,9.0,3.3,3.3,,0.93,0.363,,13737.0,5.6,,,,14.0,,12279.0,,39.0,,0.675,0.726,0.705,0.727,23.8,23.8,23.8,,40.0,23.2,8.1,0.331,0.529,0.5579999999999999,0.8029999999999999,1.0,1.0,1205.0,49.3,47.0,81.6,67.0,76.8,77.9,75.9,0.8740000000000001,0.726,69.0,6.2,6.2,6.0,163.1,58.0,8.2,83.0,9.5,5.8,81.6,24.9,,39.1,36.7,41.4,0.3,0.0,0.4,0.0,38.1,,-8.6,12.0,,0.09,0.9,100.0,30.8,5.9,1.27,39.0,5.2,12.9,22.8,,10.4,32.7,0.99
 Mali,-5.0,175.7,58.0,0.04,0.1,6.4,0.92,34.4,0.7390000000000001,5.8,21.4,0.285,66.7,25.3,66.7,1092.0,2528.0,7.5,6.7,8.3,60.5,1.0,3.9,3.9,,0.789,0.6759999999999999,17.6,1865.0,31.6,4.0,77.0,44.0,6.0,16.9,1810.0,1.1,58.0,,0.36200000000000004,0.45899999999999996,0.414,0.43700000000000006,34.4,34.4,34.4,17.6,41.6,16.1,45.6,0.166,0.266,0.36700000000000005,0.31,27.0,39.0,168.0,7.0,60.3,82.6,71.3,57.0,57.7,56.3,0.569,0.45899999999999996,601.0,2.3,1.7,3.0,138.6,263.0,71.4,282.0,118.3,5.2,82.6,35.6,17.6,11.4,7.4,15.9,8.4,0.4,17.0,3.2,39.2,,-1.1,42.0,,6.4,64.6,2.6,43.8,9.5,0.95,58.0,6.4,8.1,90.5,14.7,82.6,96.9,0.92
 Malta,,17.2,12.0,0.17,5.4,2.25,0.86,8.5,0.379,9.5,136.7,0.7979999999999999,1.3,77.7,50.6,20855.0,39829.0,15.4,15.8,15.0,285.3,1.4,1.1,1.1,97.8,0.9540000000000001,0.209,17.7,31846.0,13.8,108.0,102.0,94.0,45.0,17.4,30361.0,0.1,12.0,1.4,0.8390000000000001,0.88,0.862,0.863,8.5,8.5,8.5,17.7,7.3,13.3,4.8,0.7390000000000001,0.789,0.7490000000000001,0.887,1.0,2.0,1690.0,73.2,40.7,66.8,53.7,80.5,82.2,78.8,0.9309999999999999,0.88,9.0,11.1,10.8,11.5,128.4,41.0,6.0,70.0,6.9,26.3,66.8,8.5,17.7,76.9,72.7,81.2,0.3,0.1,0.4,0.0,94.3,1.4,77.5,13.0,1.4,2.25,3.9,100.0,38.5,14.3,0.87,12.0,5.8,11.8,9.5,95.6,,21.4,0.86
 Mauritania,-9.1,83.4,111.0,0.18,0.7,,1.08,32.9,0.435,4.2,,0.381,75.9,15.9,44.4,1920.0,5238.0,8.6,8.5,8.6,104.9,9.3,0.2,0.2,,0.84,0.631,52.2,3655.0,14.9,,97.0,30.0,,54.3,3590.0,0.5,111.0,,0.46299999999999997,0.551,0.514,0.541,32.9,32.9,32.9,52.2,40.8,21.2,36.6,0.225,0.34299999999999997,0.426,0.419,5.0,25.0,,10.7,30.8,67.9,49.4,62.9,64.4,61.4,0.66,0.551,629.0,4.3,3.3,5.3,92.4,183.0,57.0,227.0,86.7,5.5,67.9,33.4,52.2,17.3,11.1,23.5,2.3,0.1,4.1,0.6,50.2,,-9.3,34.0,,,32.0,2.3,20.5,22.2,1.21,111.0,10.0,17.0,44.4,21.0,16.8,71.7,1.08
 Mauritius,-8.3,28.3,22.0,0.18,3.4,0.01,1.26,14.1,0.218,5.4,114.0,0.7290000000000001,7.7,67.4,54.6,11301.0,24473.0,15.3,15.7,15.0,113.3,3.3,19.0,19.0,84.5,0.963,0.353,19.7,18256.0,23.0,103.0,102.0,100.0,39.0,18.9,17827.0,,22.0,1.5,0.763,0.7929999999999999,0.782,0.7829999999999999,14.1,14.1,14.1,19.7,13.2,19.8,9.2,0.632,0.6709999999999999,0.628,0.76,3.0,2.0,1038.0,44.8,45.1,73.6,59.1,74.4,78.0,70.9,0.8370000000000001,0.7929999999999999,54.0,9.1,8.8,9.4,131.4,95.0,13.1,194.0,14.7,13.3,73.6,14.2,19.7,60.4,57.6,63.6,0.9,0.1,1.3,0.1,41.1,1.5,2.8,19.0,1.5,0.01,10.6,100.0,37.8,18.8,2.13,22.0,7.7,24.6,17.2,80.0,1.9,28.1,1.26
 Mexico,10.2,64.1,21.0,0.23,3.9,1.89,1.08,21.7,0.13,5.7,49.1,0.655,13.6,61.6,58.3,10601.0,22033.0,13.5,13.7,13.3,65.0,2.3,34.0,34.0,90.2,0.951,0.358,21.9,16623.0,2064.9,70.0,105.0,92.0,30.0,21.0,16292.0,0.3,21.0,16.1,0.738,0.7759999999999999,0.7609999999999999,0.769,21.7,21.7,21.7,21.9,19.7,34.6,10.9,0.526,0.59,0.503,0.778,5.0,3.0,29346.0,44.4,43.6,79.5,61.3,76.8,79.2,74.3,0.873,0.7759999999999999,39.0,8.4,8.2,8.6,84.5,81.0,13.3,144.0,15.4,9.6,79.5,22.4,21.9,57.4,56.1,59.0,81.7,7.9,124.2,11.5,79.0,16.1,-5.5,27.0,16.1,1.89,9.8,97.5,40.2,36.8,1.02,21.0,4.8,9.4,28.0,38.9,11.9,42.5,1.08
 Moldova (Republic of),14.9,24.3,115.0,0.29,1.4,26.0,1.03,10.8,0.146,10.3,38.8,0.7140000000000001,30.5,51.6,39.7,4592.0,5965.0,11.8,12.1,11.5,120.1,4.3,12.3,12.3,88.7,1.006,0.253,26.1,4763.0,16.9,84.0,93.0,87.0,41.0,24.7,5252.0,0.5,115.0,3.2,0.6970000000000001,0.693,0.696,0.598,10.8,10.8,10.8,26.1,7.3,14.0,11.0,0.662,0.621,0.515,0.7020000000000001,6.0,10.0,94.0,67.0,38.3,44.7,41.3,71.3,75.5,67.0,0.789,0.693,24.0,11.6,11.5,11.7,91.8,100.0,14.1,246.0,16.4,13.3,44.7,10.8,26.1,96.2,95.2,97.3,3.0,0.4,4.1,0.2,42.5,3.2,-3.9,17.0,3.2,26.0,13.0,100.0,51.8,17.8,0.67,115.0,3.9,9.9,28.2,19.0,0.8,21.2,1.03
 Mongolia,2.2,24.7,192.0,0.63,7.1,2.09,1.04,12.8,0.46799999999999997,3.8,66.4,0.75,28.0,51.3,57.4,8617.0,12300.0,14.9,15.5,14.2,109.3,2.8,8.1,8.1,94.1,1.025,0.316,35.2,11349.0,33.2,,102.0,,64.0,28.6,10441.0,0.1,192.0,7.3,0.7440000000000001,0.725,0.7340000000000001,0.7020000000000001,12.8,12.8,12.8,35.2,9.4,12.3,16.6,0.68,0.64,0.616,0.627,1.0,2.0,393.0,19.9,54.0,66.8,60.3,68.8,73.1,64.9,0.752,0.725,46.0,10.1,10.6,9.8,103.5,132.0,16.9,299.0,19.8,5.7,66.8,12.8,35.2,87.8,89.7,85.8,2.0,0.1,2.9,0.3,68.2,7.3,-4.1,27.0,7.3,2.09,3.3,42.2,46.8,14.9,0.88,192.0,4.8,11.9,48.9,93.2,2.0,41.8,1.04
 Montenegro,,13.3,21.0,0.24,3.6,9.4,0.99,9.2,0.23399999999999999,5.9,57.9,0.7909999999999999,6.5,76.0,40.3,11486.0,18612.0,15.0,15.2,14.7,100.1,10.8,61.5,61.5,64.7,0.955,0.16,20.2,14797.0,9.2,,,,,19.0,15000.0,0.1,21.0,3.2,0.7859999999999999,0.823,0.805,0.757,9.2,9.2,9.2,20.2,7.4,12.6,7.6,0.732,0.731,0.662,0.8059999999999999,3.0,24.0,1350.0,61.0,42.6,55.9,49.1,76.7,79.1,74.3,0.873,0.823,7.0,11.3,10.7,12.0,161.4,67.0,4.2,127.0,4.6,20.1,55.9,9.2,20.2,89.2,86.9,96.2,0.4,0.1,0.6,0.0,65.5,3.2,-12.8,,3.2,9.4,46.0,100.0,45.1,17.3,1.02,21.0,18.0,35.5,12.2,57.9,0.4,27.5,0.99
 Morocco,18.8,32.8,101.0,0.24,1.7,7.09,0.96,28.5,0.16,5.7,111.9,0.504,37.3,43.1,44.5,3006.0,10909.0,12.1,11.6,12.5,81.2,3.2,12.6,12.6,88.5,0.825,0.52,32.2,7079.0,246.6,58.0,110.0,,25.0,29.7,6913.0,0.1,101.0,1.0,0.5770000000000001,0.7,0.65,0.64,28.5,28.5,28.5,32.2,45.8,23.0,16.8,0.273,0.457,0.493,0.708,1.0,1.0,10283.0,56.8,25.0,74.7,49.2,75.3,76.4,74.1,0.851,0.7,126.0,5.0,3.8,6.2,128.5,67.0,25.0,77.0,29.0,9.5,74.7,29.7,32.2,29.4,25.7,33.2,22.6,2.2,34.3,3.4,60.3,1.0,-6.0,26.0,1.0,7.09,11.7,84.6,18.0,11.0,1.07,101.0,9.7,19.9,51.5,,9.2,42.2,0.96
 Mozambique,-3.9,148.3,551.0,0.29,0.3,0.92,0.98,34.1,0.275,5.5,34.9,0.38299999999999995,74.1,21.5,59.1,1027.0,1106.0,9.7,9.2,10.2,118.1,29.5,48.5,48.5,12.6,0.903,,55.4,1080.0,29.4,,105.0,33.0,6.0,43.1,1066.0,13.0,551.0,,0.406,0.45,0.42700000000000005,0.35700000000000004,34.1,34.1,34.1,55.4,33.8,28.4,40.2,0.253,0.281,0.256,0.341,8.0,15.0,1661.0,9.2,82.9,75.1,79.2,57.1,59.1,54.9,0.5710000000000001,0.45,506.0,3.4,2.5,4.6,67.9,309.0,57.2,380.0,79.9,6.1,75.1,34.3,55.4,15.6,11.5,23.4,14.0,0.9,27.2,4.7,33.9,,-29.0,55.0,,0.92,88.9,4.4,30.7,,1.17,551.0,25.3,43.2,85.3,,78.5,88.2,0.98
 Nepal,38.9,67.3,158.0,0.13,0.3,29.44,0.77,25.9,0.133,5.8,70.7,0.488,72.8,19.3,81.5,2057.0,2568.0,12.2,12.6,11.9,52.3,0.2,25.4,25.4,15.8,0.915,0.496,41.2,2266.0,64.2,85.0,135.0,67.0,16.0,23.5,2305.0,0.2,158.0,2.0,0.5379999999999999,0.5870000000000001,0.56,0.474,25.9,25.9,25.9,41.2,41.4,15.1,21.1,0.28600000000000003,0.41,0.402,0.601,6.0,12.0,790.0,15.4,81.9,86.4,84.1,69.5,71.1,68.0,0.762,0.5870000000000001,275.0,4.5,3.1,6.0,81.3,138.0,31.0,180.0,38.0,8.7,86.4,26.8,41.2,32.0,24.1,41.2,17.4,1.5,28.3,2.9,18.2,2.0,,24.0,2.0,29.44,84.4,81.7,31.2,29.5,0.74,158.0,3.0,5.0,79.2,31.3,35.5,54.5,0.77
 Netherlands,14.3,4.4,5.5,0.22,9.9,0.17,1.02,6.5,0.098,10.9,218.3,0.902,2.3,81.5,59.3,36476.0,54749.0,18.0,18.2,17.8,154.3,13.4,11.1,11.1,90.9,0.965,0.046,18.5,45668.0,770.2,94.0,102.0,131.0,,18.0,45557.0,0.2,5.5,0.7,0.9059999999999999,0.9390000000000001,0.924,0.925,6.5,6.5,6.5,18.5,4.1,11.6,3.9,0.865,0.863,0.8170000000000001,0.91,2.0,4.0,13925.0,91.7,57.8,70.4,64.0,81.6,83.4,79.7,0.9470000000000001,0.9390000000000001,7.0,12.1,11.8,12.4,115.8,50.0,3.4,67.0,4.0,26.6,70.4,6.6,18.5,88.2,86.2,90.3,11.1,2.9,16.9,0.9,89.7,0.7,6.9,12.0,0.7,0.17,5.7,100.0,46.0,37.8,1.1,5.5,7.4,12.7,12.7,99.2,,25.8,1.02
 Nicaragua,14.0,91.0,55.0,0.17,0.8,9.6,1.31,23.7,0.21899999999999997,7.6,46.9,0.5529999999999999,31.4,50.9,63.0,2763.0,6855.0,12.1,12.3,11.8,106.7,7.4,25.9,25.9,40.9,0.946,0.46799999999999997,28.9,4785.0,28.8,,,,,27.3,4780.0,0.2,55.0,8.7,0.624,0.659,0.649,0.584,23.7,23.7,23.7,28.9,29.5,28.3,13.2,0.39,0.493,0.419,0.733,1.0,1.0,1330.0,17.6,48.9,84.2,66.0,74.9,77.9,71.8,0.8440000000000001,0.659,154.0,6.5,6.8,6.3,117.5,106.0,17.9,195.0,21.0,7.7,84.2,24.0,28.9,45.0,45.7,44.1,3.9,0.3,6.0,0.6,57.7,8.7,-7.2,,8.7,9.6,51.8,57.1,50.1,42.4,1.41,55.0,4.5,8.5,40.5,14.4,10.9,47.3,1.31
 Niger,7.1,198.8,98.0,0.12,0.1,2.66,0.71,28.4,0.40700000000000003,5.9,12.5,0.207,76.1,16.4,78.8,110.0,1664.0,5.3,4.7,6.0,60.3,10.0,0.9,0.9,24.1,0.27699999999999997,0.6679999999999999,37.4,904.0,17.3,7.0,70.0,19.0,,37.0,888.0,0.5,98.0,,0.11199999999999999,0.40299999999999997,0.345,0.33,28.4,28.4,28.4,37.4,35.0,12.3,37.9,0.134,0.244,0.289,0.375,8.0,27.0,135.0,1.9,67.6,90.9,79.0,59.2,60.2,58.3,0.604,0.40299999999999997,574.0,1.7,1.3,2.4,43.0,239.0,53.8,267.0,99.2,5.4,90.9,29.3,37.4,6.1,3.6,8.4,9.0,0.5,19.1,3.9,16.2,,-10.4,36.0,,2.66,78.1,4.4,50.5,13.3,0.5,98.0,0.3,0.5,88.8,4.3,74.0,106.3,0.71
 Norway,21.2,6.1,6.8,0.15,9.3,0.15,0.86,5.3,0.377,9.3,134.7,0.907,2.3,77.3,62.5,58514.0,72774.0,17.7,18.3,17.1,68.6,0.7,33.2,33.2,58.0,0.993,0.054000000000000006,28.1,63419.0,325.8,98.0,100.0,113.0,78.0,23.8,65684.0,,6.8,0.6,0.941,0.9470000000000001,0.946,0.98,5.3,5.3,5.3,28.1,2.3,10.2,3.4,0.8859999999999999,0.895,0.88,0.919,1.0,6.0,4855.0,96.3,61.4,68.1,64.7,81.9,83.8,79.8,0.9520000000000001,0.9470000000000001,5.0,12.5,12.5,12.5,111.6,44.0,2.3,69.0,2.8,24.4,68.1,5.4,28.1,95.3,96.1,94.6,3.4,0.8,5.1,0.3,80.7,0.6,8.1,9.0,0.6,0.15,57.2,100.0,48.0,39.6,0.86,6.8,3.5,7.8,5.4,100.0,,27.4,0.86
 Oman,-6.9,9.6,10.0,0.38,15.4,0.05,1.22,,0.619,3.5,41.6,0.6920000000000001,6.0,56.0,57.1,12424.0,52804.0,13.8,14.7,13.3,104.2,1.6,0.0,0.0,,0.943,0.281,24.7,40365.0,159.9,57.0,110.0,,35.0,28.8,38333.0,,10.0,0.7,0.7759999999999999,0.823,0.815,0.899,,,,24.7,,,7.0,,,,0.81,1.0,1.0,1611.0,70.2,30.2,86.3,68.4,76.6,79.1,74.8,0.87,0.823,18.0,9.3,9.9,9.0,156.4,70.0,9.5,112.0,11.0,3.1,86.3,,24.7,58.8,66.0,57.1,3.0,0.1,4.0,0.4,80.1,0.7,1.0,,0.7,0.05,0.0,100.0,12.1,9.6,2.39,10.0,16.4,46.1,9.2,63.5,0.3,30.0,1.22
 Pakistan,13.7,39.3,270.0,0.2,0.9,7.06,1.0,28.6,0.193,2.7,47.5,0.395,42.2,34.9,51.2,1391.0,8088.0,8.1,7.4,8.7,30.9,0.8,2.0,2.0,59.7,0.736,0.5529999999999999,14.6,4576.0,849.1,70.0,93.0,42.0,10.0,13.0,4832.0,0.1,270.0,7.2,0.447,0.607,0.5479999999999999,0.586,28.6,28.6,28.6,14.6,44.4,11.6,29.9,0.22,0.384,0.518,0.498,20.0,29.0,,12.0,23.0,80.1,52.2,66.1,67.1,65.2,0.71,0.607,184.0,5.1,3.7,6.5,73.2,143.0,67.3,179.0,83.3,7.4,80.1,29.9,14.6,35.4,26.5,47.3,111.9,8.3,185.5,24.4,35.8,7.2,-2.3,47.0,7.2,7.06,46.6,94.1,10.0,19.7,1.11,270.0,1.8,4.2,58.9,4.8,32.9,58.4,1.0
" Palestine, State of",,59.5,1.2,0.13,0.6,14.19,1.11,14.9,0.18899999999999997,,,0.655,9.3,61.3,32.4,1649.0,7896.0,12.9,13.7,12.1,73.8,1.3,1.5,1.5,,0.865,,19.0,4320.0,18.6,51.0,95.0,82.0,44.0,21.6,4817.0,,1.2,0.8,0.611,0.706,0.679,0.585,14.9,14.9,14.9,19.0,16.5,15.0,13.1,0.547,0.578,0.498,0.71,1.0,1.0,556.0,53.7,18.1,70.0,44.3,73.1,75.1,71.3,0.8170000000000001,0.706,47.0,8.9,8.6,9.3,70.5,97.0,17.6,139.0,20.6,5.2,70.0,14.9,19.0,58.8,56.3,61.2,2.6,0.1,4.5,0.7,75.1,0.8,1.6,24.0,0.8,14.19,10.5,100.0,15.3,,1.72,1.2,27.0,44.3,40.1,21.2,2.2,71.6,1.11
 Panama,31.9,85.0,47.0,0.11,2.3,1.51,1.11,21.7,0.129,6.8,78.0,0.6809999999999999,15.7,64.2,62.9,14268.0,23059.0,12.7,13.3,12.1,119.1,10.0,62.3,62.3,80.7,1.004,0.466,44.3,20018.0,78.2,47.0,99.0,75.0,45.0,40.6,18677.0,0.8,47.0,14.5,0.782,0.779,0.7809999999999999,0.79,21.7,21.7,21.7,44.3,16.6,36.5,12.1,0.568,0.606,0.502,0.779,4.0,10.0,1745.0,44.9,50.9,81.4,66.1,77.6,80.8,74.6,0.8859999999999999,0.779,97.0,9.9,10.3,9.5,158.9,80.0,14.9,152.0,17.4,11.4,81.4,22.5,44.3,68.6,70.1,66.1,2.5,0.3,3.9,0.4,66.4,14.5,-10.2,22.0,14.5,1.51,19.8,77.3,41.5,19.3,1.52,47.0,4.8,12.6,29.9,40.3,6.1,43.6,1.11
 Paraguay,6.2,59.2,39.0,0.1,0.9,1.64,1.34,21.8,0.342,7.6,40.8,0.63,22.1,58.8,66.0,6481.0,9654.0,12.8,13.2,12.3,88.1,1.8,39.4,39.4,33.7,0.978,0.46799999999999997,16.3,8502.0,55.7,,,,,15.9,8092.0,0.5,39.0,8.8,0.69,0.705,0.698,0.664,21.8,21.8,21.8,16.3,16.2,30.1,19.2,0.528,0.544,0.46399999999999997,0.6579999999999999,5.0,16.0,649.0,43.0,56.0,82.7,69.5,72.9,75.1,70.8,0.8140000000000001,0.705,134.0,8.2,8.2,8.3,111.5,126.0,18.1,166.0,21.2,9.2,82.7,22.1,16.3,46.6,46.2,47.0,4.2,0.4,6.6,0.7,60.5,8.8,-5.5,,8.8,1.64,63.1,97.7,42.0,16.8,1.79,39.0,5.0,11.1,37.2,,4.5,48.1,1.34
 Peru,10.2,50.5,121.0,0.17,2.0,1.31,1.03,23.0,0.22699999999999998,5.1,,0.696,28.0,55.6,74.9,7970.0,14170.0,13.7,13.8,13.5,46.8,2.2,57.9,57.9,79.6,0.9490000000000001,0.387,24.6,11548.0,357.7,88.0,101.0,96.0,,24.5,11067.0,0.4,121.0,6.7,0.723,0.762,0.746,0.711,23.0,23.0,23.0,24.6,23.3,31.9,13.9,0.534,0.5710000000000001,0.484,0.722,2.0,11.0,3215.0,40.2,69.6,84.9,77.2,74.5,77.2,71.9,0.8390000000000001,0.762,70.0,9.4,8.9,9.9,102.9,96.0,12.9,155.0,16.6,10.2,84.9,23.4,24.6,61.5,56.2,67.0,20.2,2.1,31.0,3.0,77.2,6.7,-1.3,18.0,6.7,1.31,26.0,74.5,46.2,22.3,1.11,121.0,3.0,7.6,50.5,22.5,9.0,43.3,1.03
 Philippines,28.3,58.3,546.0,0.16,1.1,10.08,1.14,17.9,0.231,4.2,55.9,0.657,30.5,53.5,60.7,6357.0,9577.0,12.6,12.9,12.3,61.5,2.0,26.2,26.2,62.0,0.9940000000000001,0.43200000000000005,20.6,6586.0,659.3,,,,36.0,20.7,7980.0,0.1,546.0,9.7,0.687,0.691,0.6890000000000001,0.662,17.9,17.9,17.9,20.6,11.6,26.8,15.2,0.581,0.564,0.484,0.637,22.0,21.0,4833.0,49.6,49.6,76.3,62.9,68.8,72.3,65.6,0.7509999999999999,0.691,117.0,9.2,9.5,9.2,111.2,139.0,22.7,264.0,28.8,7.1,76.3,18.1,20.6,71.6,72.8,70.3,63.1,4.5,100.1,11.3,46.1,9.7,1.3,,9.7,10.08,28.6,82.8,45.3,27.2,1.06,546.0,3.6,9.6,39.3,37.9,24.4,51.6,1.14
 Poland,9.7,13.8,20.0,0.31,7.5,1.36,1.05,9.6,0.065,6.2,71.1,0.8220000000000001,11.5,58.0,51.7,18373.0,29015.0,16.0,16.8,15.2,93.7,3.6,30.7,30.7,90.1,1.0070000000000001,0.146,20.4,24347.0,925.5,80.0,99.0,106.0,68.0,19.7,23514.0,,20.0,0.7,0.853,0.847,0.8420000000000001,0.825,9.6,9.6,9.6,20.4,5.6,17.5,5.7,0.7759999999999999,0.76,0.68,0.831,1.0,3.0,16000.0,66.6,49.2,65.2,56.8,77.3,81.2,73.3,0.8809999999999999,0.847,3.0,11.3,12.1,12.2,148.6,64.0,4.3,163.0,5.0,21.6,65.2,9.8,20.4,83.9,81.1,86.9,26.8,5.8,38.3,2.0,60.4,0.7,-2.0,10.0,0.7,1.36,11.6,100.0,45.5,22.3,1.13,20.0,9.0,23.8,17.2,73.0,,21.3,1.05
 Portugal,1.5,11.4,24.0,0.17,4.3,0.19,1.02,10.0,0.079,9.0,173.7,0.755,8.7,67.5,50.6,21312.0,30291.0,16.4,16.4,16.5,80.0,5.7,34.9,34.9,72.7,0.9840000000000001,0.105,15.3,26024.0,270.7,91.0,108.0,116.0,65.0,15.0,25572.0,,24.0,0.9,0.8320000000000001,0.845,0.8390000000000001,0.8370000000000001,10.0,10.0,10.0,15.3,5.9,20.3,3.9,0.71,0.753,0.667,0.899,1.0,2.0,9092.0,64.6,53.8,64.4,58.8,80.8,83.8,77.7,0.9359999999999999,0.845,10.0,8.9,9.0,8.9,113.6,45.0,2.9,109.0,3.6,31.0,64.4,10.3,15.3,51.4,50.8,52.2,6.9,2.1,10.5,0.5,62.9,0.9,-2.6,13.0,0.9,0.19,30.5,100.0,49.7,31.3,1.06,24.0,13.9,34.8,14.5,86.1,,21.8,1.02
 Qatar,32.1,11.1,23.0,0.38,45.4,0.24,2.67,,0.527,2.4,81.9,0.698,1.3,45.5,86.6,56183.0,134958.0,13.4,14.8,12.0,99.0,0.5,0.0,0.0,100.0,1.028,0.539,31.8,120860.0,287.0,56.0,99.0,84.0,13.0,,115743.0,0.1,23.0,0.4,0.865,0.841,0.853,1.0,,,,31.8,,,6.0,,,,0.8370000000000001,1.0,1.0,2839.0,91.5,57.3,94.4,86.8,77.9,79.6,77.1,0.8909999999999999,0.841,13.0,9.8,10.8,9.5,139.2,47.0,7.4,67.0,8.6,1.2,94.4,,31.8,68.4,70.9,67.8,2.0,0.0,2.4,0.1,98.9,0.4,12.4,11.0,0.4,0.24,0.0,100.0,13.7,0.1,11.0,23.0,0.2,0.8,0.1,61.6,0.0,16.0,2.67
 Romania,6.2,35.3,86.0,0.18,3.5,1.7,1.02,10.2,0.099,5.0,37.9,0.765,28.4,42.7,51.0,16104.0,22974.0,14.5,14.9,14.2,82.8,1.9,29.5,29.5,72.8,0.987,0.34299999999999997,24.7,19678.0,391.8,90.0,,93.0,48.0,24.3,19434.0,0.1,86.0,1.5,0.797,0.807,0.802,0.7959999999999999,10.2,10.2,10.2,24.7,4.7,17.1,8.8,0.7290000000000001,0.7190000000000001,0.66,0.773,2.0,11.0,8442.0,54.1,46.2,63.9,54.7,75.1,78.6,71.6,0.848,0.807,31.0,10.9,10.5,11.3,114.8,81.0,8.1,188.0,9.5,24.5,63.9,10.4,24.7,89.1,86.1,92.2,13.6,3.3,20.0,1.0,53.9,1.5,-3.7,,1.5,1.7,24.3,100.0,43.7,11.7,0.82,86.0,6.8,23.9,30.9,56.9,,22.8,1.02
 Russian Federation,7.8,24.8,70.0,0.46,11.9,0.38,1.03,10.3,0.37,5.7,47.2,0.812,6.7,65.8,60.2,19720.0,29923.0,15.0,15.3,14.7,47.7,1.1,49.8,49.8,90.2,1.0190000000000001,0.287,22.2,25285.0,3693.8,84.0,99.0,101.0,79.0,21.2,24458.0,,70.0,11.3,0.815,0.8,0.807,0.831,10.3,10.3,10.3,22.2,2.3,18.7,9.8,0.794,0.722,0.675,0.703,3.0,2.0,32421.0,70.5,56.8,71.6,63.5,70.7,76.2,65.1,0.78,0.8,25.0,11.9,11.8,12.1,153.7,120.0,7.1,322.0,8.3,19.0,71.6,10.5,22.2,94.6,94.6,94.7,101.0,19.2,143.8,9.2,74.0,11.3,3.6,20.0,11.3,0.38,3.4,100.0,49.7,12.1,0.87,70.0,5.2,14.1,5.9,70.2,0.1,23.4,1.03
 Rwanda,-4.6,29.8,63.0,0.04,0.1,2.29,1.46,31.6,0.359,8.2,17.3,0.445,68.5,23.6,85.6,1374.0,1821.0,11.2,11.4,11.1,47.6,3.9,19.2,19.2,,0.9420000000000001,0.39799999999999996,25.3,1630.0,18.5,16.0,136.0,40.0,8.0,24.4,1593.0,3.2,63.0,3.8,0.494,0.525,0.509,0.418,31.6,31.6,31.6,25.3,29.4,35.2,30.2,0.314,0.348,0.271,0.496,1.0,3.0,926.0,10.6,86.2,87.0,86.6,66.2,68.2,64.1,0.711,0.525,304.0,4.0,3.5,4.6,68.3,182.0,32.2,236.0,43.4,4.9,87.0,31.6,25.3,13.2,10.5,16.4,6.4,0.3,11.3,1.7,17.0,3.8,-3.9,58.0,3.8,2.29,88.2,9.1,35.1,57.5,1.18,63.0,1.2,1.9,80.4,35.3,75.8,73.1,1.46
